Recommended Diet,Calories (kcal),Protein (g),Carbs (g),Fat (g),Health Benefits,Suitable Age Group,Meal Type,BMI,BMI Category
"Beef, roasted, cooked, select, trimmed to 1/8"" fat, separable lean and fat, lip-on, boneless, rib eye roast",277,9,77,6,General nutrition,Children,Other,21.7,Normal weight
"Soup, prepared with equal volume water, canned, cream of potato",30,33,91,0,General nutrition,Old age,Lunch,18.5,Underweight
"Olives, green, canned or bottled, pickled",145,11,29,29,General nutrition,Adults,Other,18.5,Underweight
"Candies, YORK BITES",394,5,6,5,General nutrition,Children,Other,21.7,Normal weight
"Nuts, without salt added, oil roasted, pecans",715,1,53,28,"Heart health, Weight management, Brain function",All ages,Snack,30.0,Obesity
Vegetarian meatloaf or patties,197,46,69,16,General nutrition,Adults,Dinner,18.5,Underweight
"Rice, enriched, raw, medium-grain, white",360,13,8,2,General nutrition,All ages,Other,21.7,Normal weight
"Mollusks, baked or broiled, conch",130,40,35,19,General nutrition,Adults,Other,18.5,Underweight
"Peas, drained solids, no salt added, canned, green",69,29,60,27,General nutrition,All ages,Other,18.5,Underweight
"Cereals ready-to-eat, GRAPE-NUTS Flakes, POST",376,11,49,1,"Sustained energy, Digestive health, Blood sugar control",All ages,Breakfast,21.7,Normal weight
"Pizza, cooked, frozen, regular crust, meat and vegetable topping",276,3,65,14,General nutrition,Old age,Dinner,21.7,Normal weight
"Lamb, raw, trimmed to 1/8"" fat, separable lean and fat, blade, shoulder, fresh, imported, Australian",262,37,52,15,General nutrition,Children,Other,21.7,Normal weight
"WENDY'S, french fries",301,24,25,24,General nutrition,Children,Other,21.7,Normal weight
"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean only, boneless, short ribs, chuck",250,25,60,23,General nutrition,Old age,Other,21.7,Normal weight
"Cereals ready-to-eat, KELLOGG'S ALL-BRAN BRAN BUDS, KELLOGG",257,36,83,14,"Sustained energy, Digestive health, Blood sugar control",Adults,Breakfast,21.7,Normal weight
"DENNY'S, chicken strips",295,39,83,16,General nutrition,All ages,Dinner,21.7,Normal weight
"McDONALD'S, Peanuts (for Sundaes)",640,36,26,20,General nutrition,Adults,Snack,30.0,Obesity
"Animal fat, bacon grease",897,44,86,7,General nutrition,Old age,Other,30.0,Obesity
"Fat, beef tallow",902,27,72,23,General nutrition,Old age,Other,30.0,Obesity
"SUNSHINE, Cheez-It Crackers, GRIPZ",491,32,84,4,General nutrition,Children,Other,27.45,Overweight
"Beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean and fat, inside skirt, boneless, plate steak",245,14,53,13,General nutrition,Old age,Dinner,21.7,Normal weight
"Shortening frying (heavy duty), beef tallow and cottonseed",900,1,79,26,General nutrition,Old age,Other,30.0,Obesity
"Goose, roasted, cooked, meat only, domesticated",238,24,78,2,General nutrition,Old age,Dinner,21.7,Normal weight
"Cereals ready-to-eat, KELLOGG'S COCOA KRISPIES, KELLOGG",389,3,3,28,"Sustained energy, Digestive health, Blood sugar control",All ages,Breakfast,21.7,Normal weight
"Beef, roasted, cooked, select, trimmed to 0"" fat, separable lean and fat, roast, tip round, round",181,43,3,1,General nutrition,Children,Other,18.5,Underweight
"Cereals ready-to-eat, GREAT GRAINS Crunchy Pecan Cereal, POST",403,26,32,6,"Sustained energy, Digestive health, Blood sugar control",Adults,Breakfast,27.45,Overweight
"Snacks, almond, hard, granola bars",495,37,28,24,General nutrition,Old age,Snack,27.45,Overweight
Chinchinga (Kebabs),180,15,5,10,High protein,good source of iron,Other,18.5,Underweight
"Pork, raw, with added solution, separable lean and fat, tenderloin, loin, fresh",114,18,42,28,General nutrition,Children,Other,18.5,Underweight
"KFC, meat and skin with breading, Wing, ORIGINAL RECIPE, Fried Chicken",297,22,24,16,General nutrition,Old age,Dinner,21.7,Normal weight
"Milk, with blend of hydrogenated vegetable oils, fluid, filled",63,24,59,7,General nutrition,Adults,Other,18.5,Underweight
"Sausage, mild, breakfast links, turkey",235,15,45,22,General nutrition,Adults,Breakfast,21.7,Normal weight
"Beans, with salt, drained, boiled, cooked, sprouted, mature seeds, kidney",33,26,11,0,General nutrition,Children,Other,18.5,Underweight
"Soup, dry, chicken flavor, ramen noodle",439,48,59,8,General nutrition,Adults,Lunch,27.45,Overweight
"Mollusks, drained solids, canned, mixed species, clam",142,44,69,16,General nutrition,Adults,Other,18.5,Underweight
"Fast foods, taco salad",141,45,44,22,General nutrition,Old age,Lunch,18.5,Underweight
Asaana (Corn Porridge),180,3,25,5,Rich in vitamins,good for digestion,Other,18.5,Underweight
"MORNINGSTAR FARMS Breakfast Biscuit Sausage, unprepared, frozen, Egg & Cheese",257,15,61,19,General nutrition,All ages,Breakfast,21.7,Normal weight
"Pork, braised, cooked, separable lean only, arm picnic, shoulder, fresh",194,25,17,20,General nutrition,Adults,Other,18.5,Underweight
"DIGIORNO Pizza, baked, frozen, thin crispy crust, pepperoni topping",283,49,43,27,General nutrition,Adults,Other,21.7,Normal weight
"Lamb, roasted, cooked, trimmed to 0"" fat, separable lean and fat, bone-in, denuded, frenched, roast, rack, fresh, imported, Australian",193,43,6,3,General nutrition,Adults,Other,18.5,Underweight
"Doughnuts, unenriched (includes honey buns), glazed, yeast-leavened",403,38,99,15,General nutrition,All ages,Snack,27.45,Overweight
"BURGER KING, Hash Brown Rounds",302,48,79,23,General nutrition,Old age,Lunch,21.7,Normal weight
"Bread, prepared from recipe, whole-wheat",278,11,63,8,General nutrition,All ages,Other,21.7,Normal weight
"Fish, raw, rainbow, smelt",97,36,7,29,"Brain development, Joint health, Mood improvement",All ages,Dinner,18.5,Underweight
"Pie crust, unbaked, prepared from recipe, standard-type",469,26,43,8,General nutrition,All ages,Other,27.45,Overweight
"Fish, breaded and fried, cooked, channel, catfish",229,4,2,16,"Brain development, Joint health, Mood improvement",All ages,Dinner,21.7,Normal weight
"Ice creams, 98% Fat Free Vanilla, BREYERS",137,25,0,13,General nutrition,Adults,Other,18.5,Underweight
"Restaurant, arroz con leche (rice pudding), Latino",146,11,84,9,General nutrition,Old age,Other,18.5,Underweight
"Sour cream, cultured, imitation",208,26,35,19,General nutrition,Adults,Other,21.7,Normal weight
"Cereals ready-to-eat, MOTHER'S Toasted Oat Bran cereal, QUAKER",372,28,16,18,"Sustained energy, Digestive health, Blood sugar control",Children,Breakfast,21.7,Normal weight
"Fish, surimi",99,9,99,22,"Brain development, Joint health, Mood improvement",Old age,Dinner,18.5,Underweight
"Spinach, solids and liquids, regular pack, canned",19,26,20,7,General nutrition,Children,Other,18.5,Underweight
"Soup, prepared with equal volume water, canned, vegetable beef",31,24,48,27,General nutrition,Children,Lunch,18.5,Underweight
"SPAGHETTIOS, SpaghettiOs plus Calcium",67,49,49,1,General nutrition,Old age,Other,18.5,Underweight
"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean and fat, boneless, shoulder top blade steak",220,16,15,23,General nutrition,Children,Dinner,21.7,Normal weight
"Infant formula, with ARA and DHA, ready-to-feed, with iron, ENFAMIL LIPIL, MEAD JOHNSON",64,33,67,11,General nutrition,All ages,Other,18.5,Underweight
"Spices, dried, marjoram",271,30,20,18,General nutrition,Old age,Other,21.7,Normal weight
"Formulated bar, oats and chocolate, chewy, high fiber",350,34,11,18,General nutrition,Adults,Breakfast,21.7,Normal weight
"Cheese, with vegetables, 1% milkfat, lowfat, cottage",67,11,81,20,General nutrition,Old age,Other,18.5,Underweight
"Lamb, cooked, seam fat, fresh, imported, Australian",554,36,43,7,General nutrition,Adults,Other,27.45,Overweight
"USDA Commodity, raw, frozen, beef patties with VPP",225,18,51,28,General nutrition,Adults,Other,21.7,Normal weight
"Soup, prepared with equal volume water, canned, tomato beef with noodle",56,26,40,15,General nutrition,All ages,Lunch,18.5,Underweight
"Infant formula, not reconstituted, powder, low iron, SIMILAC, ABBOTT NUTRITION",522,5,95,1,General nutrition,All ages,Other,27.45,Overweight
"Fish, raw (Alaska Native), king (chinook), salmon",187,43,99,18,"Brain development, Joint health, Mood improvement",Adults,Dinner,18.5,Underweight
"Cereals ready-to-eat, Golden Maple, QUAKER Oatmeal Squares",380,5,44,0,"Sustained energy, Digestive health, Blood sugar control",Adults,Breakfast,21.7,Normal weight
"Veal, braised, cooked, brain, variety meats and by-products",136,30,5,19,General nutrition,Adults,Dinner,18.5,Underweight
"Pork, pan-fried, cooked, separable lean and fat, boneless, center rib (chops), loin, fresh",273,7,71,22,General nutrition,Adults,Other,21.7,Normal weight
"School Lunch, frozen, BIG DADDY'S LS 16"" 51% Whole Grain Rolled Edge Cheese Pizza, pizza",243,23,94,4,"Sustained energy, Digestive health, Blood sugar control",Children,Lunch,21.7,Normal weight
"Frostings, ready-to-eat, cream cheese-flavor",415,36,22,1,General nutrition,All ages,Other,27.45,Overweight
"Infant formula, with ARA and DHA, powder, For Spit Up, SIMILAC, ABBOTT NUTRITION",514,8,73,18,General nutrition,Old age,Other,27.45,Overweight
"Sweet Potatoes, unprepared, frozen, crosscut, french fried",209,8,80,28,General nutrition,All ages,Other,21.7,Normal weight
"Snacks, unsalted, plain, brown rice, rice cakes",387,4,35,22,General nutrition,Adults,Snack,21.7,Normal weight
"Peppers, dried, ancho",281,7,74,1,General nutrition,Children,Other,21.7,Normal weight
"Beef, raw, all grades, trimmed to 0"" fat, separable lean and fat, boneless, eye of round roast, round",124,37,66,26,General nutrition,Old age,Other,18.5,Underweight
"Lamb, raw, choice, trimmed to 1/8"" fat, separable lean and fat, foreshank, domestic",201,40,42,15,General nutrition,Adults,Other,21.7,Normal weight
"Margarine-like, without salt, stick, 80% fat, butter-margarine blend",718,26,58,27,General nutrition,Old age,Other,30.0,Obesity
"Cheese, whole milk, mozzarella",300,2,10,27,General nutrition,All ages,Other,21.7,Normal weight
"KEEBLER, Original, Saltines, ZESTA",418,20,43,18,General nutrition,All ages,Other,27.45,Overweight
"Infant formula, 20 calories ready-to-feed Low iron, Premature, ENFAMIL, MEAD JOHNSON",66,38,6,6,General nutrition,Old age,Other,18.5,Underweight
"Infant formula, with ARA and DHA, ready-to-feed, ADVANCE, NATURAL CARE, SIMILAC, ABBOTT NUTRITION",78,30,26,12,General nutrition,All ages,Other,18.5,Underweight
"Cream puff shell, prepared from recipe",360,34,42,10,General nutrition,Old age,Other,21.7,Normal weight
"Candies, HERSHEY'S SKOR Toffee Bar",541,30,42,12,General nutrition,All ages,Snack,27.45,Overweight
"Kielbasa, smoked, turkey and beef, Polish",226,45,64,2,General nutrition,Children,Other,21.7,Normal weight
"Rice, cooked, enriched, short-grain, white",130,45,35,13,General nutrition,Children,Other,18.5,Underweight
"Cheese, Mexican blend",358,42,80,4,General nutrition,All ages,Other,21.7,Normal weight
"Beef, raw, select, trimmed to 0"" fat, separable lean and fat, outside skirt, boneless, plate steak",222,43,64,3,General nutrition,Adults,Dinner,21.7,Normal weight
Cheesecake commercially prepared,321,37,14,10,General nutrition,Children,Other,21.7,Normal weight
"Beef, raw, choice, trimmed to 1/8"" fat, separable lean only, lip-on, bone-in, rib eye steak/roast",173,17,75,15,General nutrition,Children,Dinner,18.5,Underweight
"Toppings, marshmallow cream",322,43,57,21,General nutrition,Children,Other,21.7,Normal weight
"Turkey, roasted, with added solution, meat only, from whole bird, thigh",158,3,17,4,General nutrition,All ages,Dinner,18.5,Underweight
"Crackers, rye (includes pumpernickel), melba toast",389,46,99,6,General nutrition,All ages,Breakfast,21.7,Normal weight
"Fish, raw, chum, salmon",120,26,17,28,"Brain development, Joint health, Mood improvement",Adults,Dinner,18.5,Underweight
"Pork, braised, cooked, separable lean and fat, boneless, Leg sirloin tip roast",156,32,70,20,General nutrition,Children,Other,18.5,Underweight
"POPEYES, skin and breading removed, meat only, Drumstick, Mild, Fried Chicken",170,20,84,17,General nutrition,Old age,Dinner,18.5,Underweight
"Puddings, prepared with 2% milk, instant, dry mix, chocolate",105,45,68,17,General nutrition,Old age,Other,18.5,Underweight
"Milk, reduced sugar, lowfat, chocolate",54,6,77,9,General nutrition,Old age,Other,18.5,Underweight
"Yardlong beans, with salt, boiled, cooked, mature seeds",118,38,5,8,General nutrition,Old age,Other,18.5,Underweight
"Rolls, egg, dinner",307,44,26,18,General nutrition,Old age,Breakfast,21.7,Normal weight
"Fast foods, with crispy chicken fillet, biscuit",300,12,75,10,General nutrition,Old age,Dinner,21.7,Normal weight
"Pork, broiled, cooked, bone-in, separable lean only, country-style ribs, loin, fresh",216,2,7,8,General nutrition,Children,Other,21.7,Normal weight
"Beef, broiled, cooked, patty, 97% lean meat / 3% fat, ground",153,14,24,13,General nutrition,Old age,Dinner,18.5,Underweight
"Lamb, roasted, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, rib, domestic",341,11,29,27,General nutrition,Children,Other,21.7,Normal weight
"Pork, roasted, cooked, separable lean and fat, bone-in, blade (roasts), loin, fresh",254,2,57,26,General nutrition,Children,Other,21.7,Normal weight
"KEEBLER, Sesame Crackers, TOASTEDS",496,23,73,10,General nutrition,Children,Breakfast,27.45,Overweight
"Eggplant, pickled",49,3,57,6,General nutrition,All ages,Breakfast,18.5,Underweight
"Beef, broiled, cooked, all grades, trimmed to 0"" fat, separable lean and fat, inside skirt steak, plate",220,1,6,6,General nutrition,Old age,Dinner,21.7,Normal weight
"INTERSTATE BRANDS CORP, WONDER Hamburger Rolls",273,36,64,27,General nutrition,Adults,Lunch,21.7,Normal weight
"KEEBLER, Reduced Fat, Pecan Shortbread Cookies, SANDIES",488,44,59,19,General nutrition,Adults,Other,27.45,Overweight
"Pork, broiled, cooked, bone-in, separable lean and fat, country-style ribs, loin, fresh",260,34,87,14,General nutrition,Old age,Other,21.7,Normal weight
"Stew, badufsuki (Hopi), pinto bean and hominy",32,23,30,28,General nutrition,Old age,Other,18.5,Underweight
"Candies, TWIX chocolate fudge cookie bars, MARS SNACKFOOD US",550,47,8,13,General nutrition,Adults,Snack,27.45,Overweight
CAMPBELL'S Homestyle Mexican Style Chicken Tortilla Soup,53,33,72,20,General nutrition,Children,Lunch,18.5,Underweight
"Poultry, raw, from mature hens, mechanically deboned",243,3,97,12,General nutrition,All ages,Other,21.7,Normal weight
"Lamb, raw, separable lean only, square-cut shoulder chops, imported, New Zealand",164,0,8,6,General nutrition,Children,Other,18.5,Underweight
"Crackers, whole-wheat",427,15,62,4,General nutrition,Children,Other,27.45,Overweight
"Chicken, stewed, cooked, meat and skin, broilers or fryers",219,14,3,8,General nutrition,Old age,Dinner,21.7,Normal weight
"Pork, pan-broiled, cooked, with added solution, separable lean only, boneless, top loin (chops), loin, fresh",169,18,27,15,General nutrition,Old age,Other,18.5,Underweight
"KELLOGG'S, Savory Herb Crackers, SPECIAL K",406,47,93,11,General nutrition,Old age,Other,27.45,Overweight
"Cereals ready-to-eat, WHEATIES, GENERAL MILLS",353,9,43,0,"Sustained energy, Digestive health, Blood sugar control",Old age,Breakfast,21.7,Normal weight
"Refried beans, reduced sodium, traditional, canned",89,35,52,16,General nutrition,Children,Other,18.5,Underweight
"McDONALD'S, Crispy, RANCH SNACK WRAP",275,22,22,17,General nutrition,Adults,Snack,21.7,Normal weight
"Restaurant, arepa (unleavened cornmeal bread), Latino",219,15,55,21,General nutrition,All ages,Other,21.7,Normal weight
"PIZZA HUT 14"" Super Supreme Pizza, Hand-Tossed Crust",248,47,48,12,General nutrition,Old age,Other,21.7,Normal weight
"WENDY'S, with cheese, CLASSIC SINGLE Hamburger",221,37,84,4,General nutrition,All ages,Lunch,21.7,Normal weight
"Beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean only, boneless, tenderloin steak, loin",198,48,21,11,General nutrition,Adults,Dinner,18.5,Underweight
"Beverages, restaurant-prepared, espresso, brewed, coffee",9,31,37,29,General nutrition,All ages,Other,18.5,Underweight
"Cheese, fat-free, cheddar or American, pasteurized process",148,5,16,3,General nutrition,Adults,Other,18.5,Underweight
"Beans, with pork, canned, baked",106,10,59,5,General nutrition,All ages,Other,18.5,Underweight
"Pasta, as purchased, plain, fresh-refrigerated",288,15,94,3,General nutrition,Old age,Dinner,21.7,Normal weight
"Butter, salted",717,29,97,17,General nutrition,All ages,Other,30.0,Obesity
"Bison, cooked, grass-fed, ground",179,7,7,27,General nutrition,Children,Other,18.5,Underweight
"Pork, pan-fried, cooked, separable lean only, bone-in, blade (chops), loin, fresh",222,15,14,13,General nutrition,Old age,Other,21.7,Normal weight
"Fish, dry heat, cooked, tilefish",147,5,17,26,"Brain development, Joint health, Mood improvement",Old age,Dinner,18.5,Underweight
"Pancakes, dry mix, special dietary",349,14,7,5,General nutrition,Adults,Breakfast,21.7,Normal weight
"Beef, braised, cooked, select, trimmed to 0"" fat, separable lean and fat, flat half, brisket",205,48,80,3,General nutrition,Old age,Other,21.7,Normal weight
"Cornmeal, enriched, with wheat flour added, bolted, self-rising, white",348,10,89,7,General nutrition,Children,Other,21.7,Normal weight
"Candies, M&M's Crispy Chocolate Candies, MARS SNACKFOOD US",475,36,58,3,General nutrition,Children,Snack,27.45,Overweight
"Yogurt, DANNON OIKOS, strawberry, Greek",106,35,54,14,General nutrition,Old age,Other,18.5,Underweight
"Fast Food, thick crust, sausage topping, 14"" pizza, Pizza Chain",282,39,18,5,General nutrition,Adults,Other,21.7,Normal weight
"Beef, pan-fried, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, top round, round",266,37,32,24,General nutrition,All ages,Other,21.7,Normal weight
"Apples, microwave, cooked, without skin, raw",56,28,95,22,General nutrition,Children,Other,18.5,Underweight
"Infant formula, not reconstituted, liquid concentrate, with iron, SIMILAC, ABBOTT NUTRITION",127,32,2,28,General nutrition,Old age,Other,18.5,Underweight
"Turkey, raw, meat only, from whole bird, breast",114,0,95,13,General nutrition,Adults,Dinner,18.5,Underweight
"Cookies, soft-type, raisin",401,10,50,5,General nutrition,All ages,Other,27.45,Overweight
"Danish pastry, unenriched, lemon",371,4,85,2,General nutrition,Old age,Other,21.7,Normal weight
"Candies, WHATCHAMACALLIT Candy Bar",494,46,22,12,General nutrition,All ages,Snack,27.45,Overweight
"Lamb, raw, separable lean only, bone-in, leg chop/steak, imported, New Zealand",126,37,84,23,General nutrition,All ages,Dinner,18.5,Underweight
"Cake, commercially prepared, fruitcake",324,21,23,26,General nutrition,Old age,Snack,21.7,Normal weight
"Yautia (tannier), raw",98,26,26,10,General nutrition,Old age,Other,18.5,Underweight
"Veal, grilled, cooked, separable lean only, blade chop, shoulder",159,41,60,8,General nutrition,Children,Other,18.5,Underweight
"Peanut flour, low fat",428,12,25,13,General nutrition,Old age,Other,27.45,Overweight
"Cereals ready-to-eat, KASHI 7 Whole Grain Honey Puffs",349,2,81,29,"Sustained energy, Digestive health, Blood sugar control",Old age,Breakfast,21.7,Normal weight
"KEEBLER, Reduced Fat Crackers, TOWN HOUSE",431,0,89,24,General nutrition,Adults,Other,27.45,Overweight
"Beef, raw, choice, trimmed to 0"" fat, separable lean only, boneless, under blade pot roast or steak, chuck",145,16,92,29,General nutrition,Old age,Dinner,18.5,Underweight
"Cookies, molasses",430,4,72,19,General nutrition,All ages,Other,27.45,Overweight
"Fast foods, large patty; plain, cheeseburger; single",310,47,20,9,General nutrition,Adults,Lunch,21.7,Normal weight
"Beef, raw, select, trimmed to 0"" fat, separable lean and fat, America's Beef Roast, boneless, chuck eye roast",173,32,43,17,General nutrition,All ages,Other,18.5,Underweight
"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean and fat, boneless, top round steak, round",170,22,78,16,General nutrition,All ages,Dinner,18.5,Underweight
"Fast Foods, with egg and sausage, biscuit",312,20,17,9,General nutrition,Adults,Breakfast,21.7,Normal weight
"KEEBLER, Iced Oatmeal Cookies, TRADITIONS",463,10,48,4,General nutrition,Adults,Breakfast,27.45,Overweight
"SILK Plus for Bone Health, soymilk",41,11,36,13,General nutrition,Children,Other,18.5,Underweight
"Squab, raw, meat only, (pigeon)",142,37,41,18,General nutrition,All ages,Dinner,18.5,Underweight
"Emu, raw, fan fillet",103,30,92,10,General nutrition,Adults,Other,18.5,Underweight
"Cornmeal, yellow, enriched, degermed",370,43,89,0,General nutrition,Adults,Other,21.7,Normal weight
"MORNINGSTAR FARMS California Turk'y Burger, unprepared, frozen",155,0,62,23,General nutrition,All ages,Lunch,18.5,Underweight
"Cowpeas, with salt, boiled, cooked, mature seeds, catjang",117,29,60,18,General nutrition,Adults,Other,18.5,Underweight
"Cereals ready-to-eat, KELLOGG'S KRAVE chocolate cereal",397,23,26,24,"Sustained energy, Digestive health, Blood sugar control",Old age,Breakfast,21.7,Normal weight
"Beef, braised, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, arm pot roast, chuck",302,14,1,18,General nutrition,Old age,Other,21.7,Normal weight
"Pork, microwaved, cooked, bacon, cured",476,4,34,14,General nutrition,Adults,Other,27.45,Overweight
"Salad dressing, low calorie, caesar",110,36,71,9,General nutrition,Old age,Lunch,18.5,Underweight
"Beef, grilled, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, porterhouse steak, short loin",284,2,15,27,General nutrition,Children,Dinner,21.7,Normal weight
"Cereals, dry, with cinnamon and spice, fortified, instant, oats",369,15,87,19,"Sustained energy, Digestive health, Blood sugar control",Old age,Breakfast,21.7,Normal weight
"Frozen yogurts, soft-serve, vanilla",159,12,74,18,General nutrition,Old age,Other,18.5,Underweight
"KEEBLER, Toasted Pecan, Nut Crisp Crackers, WHEATABLES",483,10,96,6,General nutrition,Adults,Breakfast,27.45,Overweight
"Lamb, raw, trimmed to 1/8"" fat, separable lean only, composite of trimmed retail cuts, fresh, imported, Australian",142,44,34,3,General nutrition,Old age,Other,18.5,Underweight
"Snacks, unsalted, made with enriched flour, plain, hard, pretzels",381,23,96,16,General nutrition,Children,Snack,21.7,Normal weight
"Pork, roasted, extra lean (approximately 5% fat), low sodium, boneless, ham, cured",145,7,4,3,General nutrition,All ages,Other,18.5,Underweight
"Feijoa, raw",61,23,12,17,General nutrition,Adults,Other,18.5,Underweight
"Beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean only, outside skirt, boneless, plate steak",282,20,47,1,General nutrition,Adults,Dinner,21.7,Normal weight
"Fish, dry heat, cooked, king, mackerel",134,28,49,8,"Brain development, Joint health, Mood improvement",Old age,Dinner,18.5,Underweight
"Beef, raw, select, trimmed to 1/8"" fat, separable lean and fat, arm pot roast, chuck",239,7,41,25,General nutrition,All ages,Other,21.7,Normal weight
"Seeds, dried, whole, sesame seeds",573,6,74,11,"Heart health, Weight management, Brain function",Old age,Other,27.45,Overweight
"Beef, broiled, cooked, all grades, trimmed to 0"" fat, separable lean only, top blade, chuck",203,11,34,12,General nutrition,All ages,Other,21.7,Normal weight
"KFC, meat and skin with breading, Breast, ORIGINAL RECIPE, Fried Chicken",231,49,22,29,General nutrition,All ages,Dinner,21.7,Normal weight
"Nuts, without salt added, dry roasted, pecans",710,36,56,26,"Heart health, Weight management, Brain function",Children,Snack,30.0,Obesity
"Pork, raw, separable lean only, boneless, sirloin (chops or roasts), loin, fresh",121,29,59,8,General nutrition,Old age,Other,18.5,Underweight
"Chicken, roasted, cooked, meat and skin, roasting",223,15,21,5,General nutrition,Adults,Dinner,21.7,Normal weight
"Seal, dried (Alaska Native), meat, bearded (Oogruk)",351,21,25,26,General nutrition,Children,Dinner,21.7,Normal weight
"Lamb, slow roasted, cooked, separable lean only, square-cut shoulder, imported, New Zealand",192,27,73,9,General nutrition,Old age,Other,18.5,Underweight
"Beef, roasted, cooked, prime, trimmed to 1/8"" fat, separable lean and fat, roast, tenderloin",343,35,24,1,General nutrition,Old age,Other,21.7,Normal weight
"Cheese, 2% milkfat, lowfat, cottage",81,28,78,7,General nutrition,Adults,Other,18.5,Underweight
"Bread sticks, plain",412,22,24,9,General nutrition,Children,Other,27.45,Overweight
"McDONALD'S, Hotcakes (plain)",228,9,51,18,General nutrition,Children,Other,21.7,Normal weight
"Milk, with added vitamin A and vitamin D, lowfat, chocolate",62,15,19,29,General nutrition,Old age,Other,18.5,Underweight
"PIZZA HUT 14"" Sausage Pizza, Pan Crust",287,7,62,18,General nutrition,Children,Other,21.7,Normal weight
"Beef, grilled, cooked, select, trimmed to 1/8"" fat, separable lean only, boneless, top loin filet",184,1,7,19,General nutrition,Children,Other,18.5,Underweight
"Ground turkey, cooked",203,30,30,2,General nutrition,Old age,Other,21.7,Normal weight
"Yogurt, 9 grams protein per 8 ounce, low fat, fruit",99,2,73,22,General nutrition,Old age,Snack,18.5,Underweight
"KEEBLER, Buttercrisps Crackers, TOASTEDS",495,40,72,17,General nutrition,Old age,Breakfast,27.45,Overweight
"Snacks, unsalted, low fat, tortilla chips",416,41,64,18,General nutrition,Old age,Snack,27.45,Overweight
"Beef, broiled, cooked, all grades, trimmed to 0"" fat, separable lean and fat, porterhouse steak, short loin",276,0,43,4,General nutrition,Children,Dinner,21.7,Normal weight
"Lamb, raw, mechanically separated, variety meats and by-products",276,22,54,8,General nutrition,Adults,Dinner,21.7,Normal weight
"Beef, roasted, cooked, select, trimmed to 1/8"" fat, separable lean and fat, whole (ribs 6-12), rib",330,24,4,27,General nutrition,All ages,Other,21.7,Normal weight
"Beef, roasted, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, large end (ribs 6-9), rib",378,31,68,5,General nutrition,Adults,Other,21.7,Normal weight
"Beef, braised, cooked, all grades, separable lean and fat, chuck for stew",191,0,77,2,General nutrition,All ages,Other,18.5,Underweight
"Cowpeas, canned with pork, mature seeds, common (blackeyes, crowder, southern)",83,2,61,15,General nutrition,Adults,Other,18.5,Underweight
Triticale,336,34,41,17,General nutrition,Children,Other,21.7,Normal weight
"Pork, raw, leaf fat, variety meats and by-products, fresh",857,12,30,10,General nutrition,Adults,Dinner,30.0,Obesity
"Soup, condensed, canned, black bean",91,4,41,13,General nutrition,Children,Lunch,18.5,Underweight
"Luncheon meat, canned, pork",334,8,9,5,General nutrition,Children,Lunch,21.7,Normal weight
"Lamb, roasted, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, loin, domestic",290,12,62,26,General nutrition,Children,Other,21.7,Normal weight
"Beef, roasted, cooked, select, trimmed to 0"" fat, separable lean only, boneless, top round roast, round",150,10,37,4,General nutrition,Adults,Other,18.5,Underweight
"LOMA LINDA Swiss Stake with Gravy, unprepared, canned",138,0,99,4,General nutrition,Adults,Other,18.5,Underweight
"Turkey from whole, raw, meat only, dark meat",108,8,35,10,General nutrition,All ages,Dinner,18.5,Underweight
"Lamb, fast roasted, cooked, separable lean only, rack - partly frenched, imported, New Zealand",193,30,67,10,General nutrition,Children,Other,18.5,Underweight
"Beef, grilled, cooked, select, trimmed to 0"" fat, separable lean and fat, boneless, eye of round steak, round",154,44,3,9,General nutrition,Children,Dinner,18.5,Underweight
"Potatoes, unprepared, extruded, par fried, french fried, frozen",260,39,14,14,General nutrition,Children,Other,21.7,Normal weight
"Fish, raw, farmed, coho, salmon",160,17,68,16,"Brain development, Joint health, Mood improvement",Old age,Dinner,18.5,Underweight
"Beef, broiled, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, top round steak, round",204,40,55,7,General nutrition,Children,Dinner,21.7,Normal weight
"Beef, chopped beef, smoked, cured",133,38,62,25,General nutrition,All ages,Other,18.5,Underweight
"Beef, raw, choice, trimmed to 0"" fat, separable lean only, boneless, short ribs, chuck",175,16,13,25,General nutrition,All ages,Other,18.5,Underweight
"Cereals ready-to-eat, RALSTON TASTEEOS",357,6,18,8,"Sustained energy, Digestive health, Blood sugar control",Children,Breakfast,21.7,Normal weight
"CRACKER BARREL, from kid's menu, macaroni n' cheese plate",192,2,31,22,General nutrition,Children,Snack,18.5,Underweight
"MURRAY, Oatmeal Cookies, SUGAR FREE",451,33,24,18,General nutrition,Old age,Breakfast,27.45,Overweight
