name,serving_size,calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water
"Cereals ready-to-eat, KELLOGG'S Corn Flakes, KELLOGG",100 g,357,0.4g,0.1g,0,729.00 mg,8.7 mg,357.00 mcg,323.00 mcg,17.900 mg,0.229 mg,1.520 mg,1.340 mg,1786.00 IU,490.00 mcg,54.00 mcg,83.00 mcg,0.00 mcg,339.00 mcg,0,5.00 mcg,1.790 mg,21.0 mg,143.00 IU,0.12 mg,0.12 mg,0.0 mcg,5.00 mg,0.198 mg,28.90 mg,39.00 mg,0.168 mg,102.00 mg,168.00 mg,8.3 mcg,1.00 mg,7.50 g,0.579 g,0.113 g,0.397 g,0.136 g,1.554 g,0.193 g,0.170 g,0,0.250 g,1.044 g,0.079 g,0.136 g,0.374 g,0.715 g,0.340 g,0.227 g,0.045 g,0.079 g,0.306 g,84.10 g,3.3 g,9.50 g,0,0,0,0,0,0,0.40 g,0.116 g,0.067 g,0.196 g,0.00 mg,0.0 g,4.00 g,0.00 mg,0.00 mg,3.76 g
"Cereals ready-to-eat, CINNAMON TOASTERS, MALT-O-MEAL",100 g,425,12g,1.9g,0,473.00 mg,16.1 mg,667.00 mcg,648.00 mcg,16.670 mg,0,1.410 mg,1.250 mg,1667.00 IU,498.00 mcg,0.00 mcg,3.00 mcg,2.00 mcg,73.00 mcg,0,5.00 mcg,1.660 mg,20.0 mg,133.00 IU,0.43 mg,0.43 mg,1.6 mcg,333.00 mg,0.133 mg,30.00 mg,27.00 mg,0,250.00 mg,157.00 mg,25.3 mcg,12.50 mg,3.32 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.33 g,5.0 g,32.86 g,0,0,0,0,0,0,12.06 g,1.850 g,3.920 g,4.130 g,0.00 mg,0.0 g,3.29 g,0.00 mg,0.00 mg,3.00 g
"HORMEL ALWAYS TENDER, Fresh Pork, Boneless Pork Loin",100 g,145,7.2g,2.8g,49mg,358.00 mg,0,0,0,0,0,0,0,0.00 IU,0,0,0,0,0,0,0,0,1.3 mg,0,0,0,0,4.00 mg,0.100 mg,0.60 mg,21.00 mg,0,0,310.00 mg,0,1.60 mg,19.02 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76 g,0,0.08 g,0,0,0,0,0,0,7.18 g,2.840 g,3.420 g,0.640 g,49.00 mg,0,1.69 g,0,0,71.35 g
"KEEBLER, Dark Chocolate, Fudge Stripes, FUDGE SHOPPE",100 g,487,22g,15g,0,370.00 mg,0,57.00 mcg,0,2.000 mg,0,0.180 mg,0.270 mg,0,0,0,0,0,0,0,0,0.010 mg,0,2.00 IU,0,0,0,0,0,2.10 mg,43.00 mg,0,68.00 mg,360.00 mg,0,0.40 mg,4.30 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.10 g,3.1 g,39.90 g,0,0,0,0,0,0,21.50 g,14.500 g,2.500 g,3.800 g,0.00 mg,0,0,0,0,1.77 g
"Peanut butter, vitamin and mineral fortified, chunky",100 g,593,51g,8g,0,366.00 mg,61.1 mg,313.00 mcg,221.00 mcg,13.640 mg,0,0.112 mg,0.125 mg,3907.00 IU,1172.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,2.520 mg,0.0 mg,0.00 IU,43.20 mg,43.20 mg,0.5 mcg,45.00 mg,1.770 mg,17.50 mg,370.00 mg,0,316.00 mg,744.00 mg,7.5 mcg,15.10 mg,26.06 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.69 g,5.7 g,10.94 g,0,0,0,0,0,0,51.47 g,7.972 g,24.366 g,14.648 g,0.00 mg,0.0 g,3.30 g,0.00 mg,0.00 mg,1.48 g
"Peanut butter, vitamin and mineral fortified, smooth",100 g,591,51g,10g,0,420.00 mg,63.3 mg,373.00 mcg,239.00 mcg,13.369 mg,0,0.105 mg,0.083 mg,3907.00 IU,1172.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,2.230 mg,0.0 mg,0.00 IU,43.20 mg,43.20 mg,0.6 mcg,43.00 mg,1.640 mg,16.60 mg,355.00 mg,0,368.00 mg,667.00 mg,7.5 mcg,14.40 mg,25.72 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.75 g,5.6 g,10.47 g,0,0,0,0,0,0,50.81 g,10.125 g,24.832 g,13.847 g,0.00 mg,0.0 g,3.25 g,0.00 mg,0.00 mg,1.47 g
"MORNINGSTAR FARMS Grillers Prime, unprepared, frozen",100 g,238,13g,1.6g,1mg,501.00 mg,0,0,0,0,0,0.200 mg,0.300 mg,0.00 IU,0,0,0,0,0,0,0,0,0.0 mg,0,0,0,0,58.00 mg,0,2.80 mg,0,0,0,224.00 mg,0,1.20 mg,24.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.90 g,2.6 g,0.30 g,0,0,0,0,0,0,13.20 g,1.600 g,5.600 g,6.000 g,1.00 mg,0,2.60 g,0,0,54.30 g
"Cereals, dry, 2 1/2 minute cook time, CREAM OF WHEAT",100 g,355,1.4g,0.3g,0,328.00 mg,0,0,0,8.475 mg,0.620 mg,0.417 mg,0.760 mg,0,0,0,0,0,0,0,0,0.090 mg,0.0 mg,0,0.37 mg,0.37 mg,0.0 mcg,882.00 mg,0.206 mg,32.02 mg,46.00 mg,1.367 mg,398.00 mg,160.00 mg,0,1.35 mg,11.61 g,0.375 g,0.485 g,0.540 g,0.153 g,4.134 g,0.465 g,0.260 g,0.000 g,0.407 g,0.830 g,0.271 g,0.187 g,0.565 g,1.892 g,0.650 g,0.240 g,0.077 g,0.178 g,0.512 g,71.79 g,4.4 g,0.47 g,0.00 g,0.00 g,0.00 g,0.00 g,0.07 g,0.39 g,1.41 g,0.253 g,0.175 g,0.630 g,0,0,3.62 g,0,0,11.56 g
"Restaurant, without meat, vegetable lo mein, Chinese",100 g,121,2.4g,0.5g,0,430.00 mg,8.9 mg,28.00 mcg,0.00 mcg,0.810 mg,0.270 mg,0.124 mg,0.047 mg,179.00 IU,9.00 mcg,21.00 mcg,97.00 mcg,0.00 mcg,112.00 mcg,0,0.00 mcg,0.068 mg,1.7 mg,4.00 IU,0.30 mg,0.30 mg,12.7 mcg,21.00 mg,0.064 mg,1.07 mg,14.00 mg,0.240 mg,45.00 mg,105.00 mg,11.7 mcg,0.36 mg,4.77 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.16 g,1.3 g,2.63 g,0.33 g,0.00 g,0.37 g,0.00 g,0.30 g,1.63 g,2.35 g,0.464 g,0.592 g,1.291 g,0.00 mg,0.0 g,1.39 g,0.00 mg,0.00 mg,71.33 g
"PIZZA HUT 12"" Super Supreme Pizza, Hand-Tossed Crust",100 g,243,11g,4.6g,20mg,689.00 mg,0,0,0,3.582 mg,0.441 mg,0.242 mg,0.266 mg,137.00 IU,36.00 mcg,0,0,0,0,0,0.62 mcg,0.146 mg,0.0 mg,0,0.77 mg,0.77 mg,7.3 mcg,129.00 mg,0.127 mg,2.00 mg,23.00 mg,0.324 mg,200.00 mg,233.00 mg,19.5 mcg,1.45 mg,10.90 g,0.476 g,0.532 g,0.831 g,0.153 g,2.845 g,0.442 g,0.323 g,0,0.485 g,0.931 g,0.710 g,0.213 g,0.545 g,1.009 g,0.585 g,0.384 g,0.105 g,0.425 g,0.599 g,25.62 g,2.0 g,3.71 g,0.90 g,0.07 g,0.74 g,0.28 g,1.73 g,0.00 g,10.72 g,4.554 g,3.953 g,1.729 g,20.00 mg,0,2.56 g,0,0,50.20 g
"DOMINO'S 14"" Cheese Pizza, Classic Hand-Tossed Crust",100 g,257,9g,4.1g,17mg,523.00 mg,0,0,0,3.350 mg,0.450 mg,0.170 mg,0.320 mg,301.00 IU,61.00 mcg,0,0,0,0,0,0.46 mcg,0.080 mg,0.9 mg,0.00 IU,0.99 mg,0.99 mg,5.4 mcg,167.00 mg,0.107 mg,2.34 mg,24.00 mg,0.324 mg,204.00 mg,161.00 mg,23.0 mcg,1.24 mg,10.80 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.24 g,2.2 g,4.02 g,1.07 g,0.12 g,1.00 g,0.50 g,0.93 g,0.40 g,8.97 g,4.110 g,2.165 g,1.833 g,17.00 mg,0,2.13 g,0,0,44.87 g
"Cereals ready-to-eat, HEALTH VALLEY, OAT BRAN FLAKES",100 g,380,3g,1g,0,380.00 mg,22.9 mg,200.00 mcg,181.00 mcg,10.000 mg,0.896 mg,0.850 mg,0.750 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,203.00 mcg,0,3.00 mcg,1.000 mg,120.0 mg,0.00 IU,0.53 mg,0.53 mg,1.8 mcg,80.00 mg,0.319 mg,2.88 mg,143.00 mg,2.903 mg,343.00 mg,340.00 mg,26.5 mcg,2.20 mg,10.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.00 g,8.0 g,22.00 g,0,0,0,0,0,0,3.00 g,1.000 g,0.704 g,0.897 g,0.00 mg,0.0 g,5.53 g,0.00 mg,0.00 mg,3.40 g
"Cereals ready-to-eat, BERRY BERRY KIX, GENERAL MILLS",100 g,376,4.2g,0.6g,0,517.00 mg,14.8 mg,526.00 mcg,507.00 mcg,10.500 mg,0.471 mg,0.890 mg,0.800 mg,1579.00 IU,433.00 mcg,48.00 mcg,74.00 mcg,0.00 mcg,1089.00 mcg,0,3.20 mcg,1.050 mg,18.9 mg,126.00 IU,0.40 mg,0.40 mg,0.6 mcg,421.00 mg,0.165 mg,23.70 mg,42.00 mg,0.332 mg,211.00 mg,228.00 mg,12.2 mcg,7.90 mg,6.19 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.90 g,5.8 g,21.00 g,0,0,0,0,0,0,4.19 g,0.600 g,1.700 g,1.700 g,0.00 mg,0.0 g,3.59 g,0.00 mg,0.00 mg,2.09 g
"Beans, with salt, boiled, cooked, mature seeds, pink",100 g,149,0.5g,0.1g,0,238.00 mg,36.9 mg,168.00 mcg,0.00 mcg,0.570 mg,0.299 mg,0.063 mg,0.257 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.175 mg,0.0 mg,0.00 IU,0.98 mg,0.98 mg,3.7 mcg,52.00 mg,0.271 mg,2.30 mg,65.00 mg,0.548 mg,165.00 mg,508.00 mg,1.4 mcg,0.96 mg,9.06 g,0.380 g,0.561 g,1.095 g,0.099 g,1.381 g,0.354 g,0.252 g,0,0.400 g,0.723 g,0.622 g,0.136 g,0.490 g,0.384 g,0.493 g,0.381 g,0.107 g,0.255 g,0.474 g,27.91 g,5.3 g,0.36 g,0,0,0,0,0,0,0.49 g,0.126 g,0.042 g,0.210 g,0.00 mg,0,1.34 g,0,0,61.20 g
"Bamboo shoots, without salt, drained, boiled, cooked",100 g,12,0.2g,0.1g,0,4.00 mg,0,2.00 mcg,0.00 mcg,0.300 mg,0.066 mg,0.050 mg,0.020 mg,0.00 IU,0.00 mcg,0,0,0,0,0,0.00 mcg,0.098 mg,0.0 mg,0.00 IU,0,0,0,12.00 mg,0.082 mg,0.24 mg,3.00 mg,0.113 mg,20.00 mg,533.00 mg,0.4 mcg,0.47 mg,1.53 g,0.072 g,0.057 g,0.249 g,0.013 g,0.145 g,0.051 g,0.025 g,0,0.051 g,0.082 g,0.079 g,0.017 g,0.053 g,0.129 g,0.075 g,0.050 g,0.016 g,0,0.062 g,1.92 g,1.0 g,0,0,0,0,0,0,0,0.22 g,0.051 g,0.005 g,0.098 g,0.00 mg,0,0.41 g,0,0,95.92 g
"Cereals ready-to-eat, Honey Nut Shredded Wheat, POST",100 g,373,2.9g,0.4g,0,102.00 mg,20.0 mg,170.00 mcg,128.00 mcg,8.500 mg,0.826 mg,0.700 mg,0.600 mg,7.00 IU,0.00 mcg,0.00 mcg,4.00 mcg,0.00 mcg,166.00 mcg,0,2.50 mcg,0.800 mg,0.0 mg,0.00 IU,1.20 mg,1.20 mg,1.5 mcg,38.00 mg,0.300 mg,28.00 mg,93.00 mg,0,274.00 mg,348.00 mg,40.9 mcg,2.50 mg,8.50 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.60 g,10.7 g,20.70 g,0,0,0,0,0,0,2.90 g,0.400 g,1.200 g,1.200 g,0.00 mg,0.0 g,2.10 g,0.00 mg,0.00 mg,3.00 g
"Fast foods, patty; plain, regular, hamburger; double",100 g,295,14g,5.1g,47mg,414.00 mg,0,56.00 mcg,0,5.365 mg,0.310 mg,0.250 mg,0.217 mg,0.00 IU,0.00 mcg,0,0,0,0,0,1.44 mcg,0.203 mg,0.0 mg,0,0,0,0,102.00 mg,0.091 mg,2.88 mg,20.00 mg,0.217 mg,136.00 mg,226.00 mg,0,2.87 mg,17.08 g,1.006 g,1.053 g,1.415 g,0.186 g,3.156 g,1.141 g,0.505 g,0,0.716 g,1.319 g,1.226 g,0.370 g,0.677 g,1.039 g,0.694 g,0.666 g,0.206 g,0.502 g,0.823 g,24.10 g,0.9 g,4.15 g,2.03 g,0.00 g,1.16 g,0.13 g,0.60 g,0.22 g,14.36 g,5.096 g,5.495 g,0.380 g,47.00 mg,0,1.80 g,0,0,42.67 g
"Pork, pan-broiled, cooked, 96% lean / 4% fat, ground",100 g,185,6.2g,1.9g,85mg,88.00 mg,95.2 mg,3.00 mcg,0.00 mcg,10.293 mg,0.846 mg,0.435 mg,0.433 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.83 mcg,0.627 mg,0.0 mg,6.00 IU,0.40 mg,0.40 mg,0.0 mcg,20.00 mg,0.039 mg,1.11 mg,25.00 mg,0.013 mg,261.00 mg,415.00 mg,49.1 mcg,2.59 mg,31.69 g,1.868 g,2.067 g,2.854 g,0.366 g,4.683 g,1.771 g,1.252 g,0.297 g,1.448 g,2.528 g,2.726 g,0.846 g,1.349 g,1.555 g,1.271 g,1.344 g,0.409 g,1.342 g,1.594 g,0.57 g,0.0 g,0.00 g,0,0,0,0,0,0,6.20 g,1.860 g,2.360 g,0.810 g,85.00 mg,0.0 g,1.47 g,0.00 mg,0.00 mg,60.08 g
"Yogurt, 12 grams protein per 8 ounce, low fat, plain",100 g,63,1.6g,1g,6mg,70.00 mg,15.2 mg,11.00 mcg,0.00 mcg,0.114 mg,0.591 mg,0.214 mg,0.044 mg,51.00 IU,14.00 mcg,0.00 mcg,2.00 mcg,0.00 mcg,0.00 mcg,0,0.56 mcg,0.049 mg,0.8 mg,1.00 IU,0.03 mg,0.03 mg,0.2 mcg,183.00 mg,0.013 mg,0.08 mg,17.00 mg,0.004 mg,144.00 mg,234.00 mg,3.3 mcg,0.89 mg,5.25 g,0.225 g,0.158 g,0.416 g,0.048 g,1.028 g,0.127 g,0.130 g,0,0.286 g,0.529 g,0.471 g,0.155 g,0.286 g,0.622 g,0.325 g,0.216 g,0.030 g,0.265 g,0.434 g,7.04 g,0.0 g,7.04 g,0,0,0,0,0,0,1.55 g,1.000 g,0.426 g,0.044 g,6.00 mg,0.0 g,1.09 g,0.00 mg,0.00 mg,85.07 g
"Seeds, without salt, toasted, sunflower seed kernels",100 g,619,57g,6g,0,3.00 mg,0,238.00 mcg,0.00 mcg,4.198 mg,7.056 mg,0.285 mg,0.325 mg,0.00 IU,0.00 mcg,0,0,0,0,0,0.00 mcg,0.805 mg,1.4 mg,0.00 IU,0,0,0,57.00 mg,1.834 mg,6.81 mg,129.00 mg,2.114 mg,1158.00 mg,491.00 mg,0,5.30 mg,17.21 g,0.844 g,1.816 g,1.848 g,0.341 g,4.216 g,1.104 g,0.477 g,0,0.861 g,1.254 g,0.708 g,0.374 g,0.883 g,0.893 g,0.812 g,0.702 g,0.263 g,0.503 g,0.994 g,20.59 g,11.5 g,0,0,0,0,0,0,0,56.80 g,5.953 g,10.841 g,37.507 g,0.00 mg,0,4.40 g,0,0,1.00 g
"Fast foods, soft, cheese and lettuce, taco with beef",100 g,206,9.8g,4.2g,25mg,560.00 mg,25.9 mg,63.00 mcg,47.00 mcg,2.880 mg,0,0.130 mg,0.180 mg,159.00 IU,19.00 mcg,1.00 mcg,69.00 mcg,0.00 mcg,66.00 mcg,0,0.84 mcg,0.060 mg,0.1 mg,3.00 IU,0.25 mg,0.25 mg,7.4 mcg,123.00 mg,0.067 mg,1.67 mg,19.00 mg,0.310 mg,167.00 mg,161.00 mg,16.8 mcg,1.37 mg,9.25 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.23 g,2.9 g,1.57 g,0.60 g,0.00 g,0.47 g,0.00 g,0.37 g,0.13 g,9.75 g,4.155 g,3.243 g,1.578 g,25.00 mg,0.0 g,1.99 g,0.00 mg,0.00 mg,58.78 g
"MORNINGSTAR FARMS Grillers Vegan, unprepared, frozen",100 g,132,3.4g,0.5g,0,395.00 mg,0,0,0,0,0,0.100 mg,0.000 mg,0.00 IU,0,0,0,0,0,0,0,0,0.0 mg,0,0,0,0,37.00 mg,0,2.90 mg,0,0,221.00 mg,498.00 mg,0,0.80 mg,16.30 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.10 g,5.2 g,0.40 g,0,0,0,0,0,0,3.40 g,0.500 g,1.200 g,1.700 g,0.00 mg,0,3.00 g,0,0,68.20 g
"Pate de foie gras, smoked, canned (goose liver pate)",100 g,462,44g,14g,150mg,697.00 mg,0,60.00 mcg,0.00 mcg,2.510 mg,1.200 mg,0.299 mg,0.088 mg,3333.00 IU,1001.00 mcg,0,0,0,0,0,9.40 mcg,0.060 mg,2.0 mg,0,0,0,0,70.00 mg,0.400 mg,5.50 mg,13.00 mg,0.120 mg,200.00 mg,138.00 mg,44.0 mcg,0.92 mg,11.40 g,0.662 g,0.699 g,1.083 g,0.153 g,1.477 g,0.662 g,0.303 g,0,0.606 g,1.029 g,0.863 g,0.270 g,0.567 g,0.565 g,0.491 g,0.507 g,0.161 g,0.401 g,0.719 g,4.67 g,0.0 g,0,0,0,0,0,0,0,43.84 g,14.450 g,25.610 g,0.840 g,150.00 mg,0,3.05 g,0,0,37.04 g
"Rennin, prepared with whole milk, dry mix, chocolate",100 g,96,3.3g,2g,12mg,51.00 mg,0,5.00 mcg,0.00 mcg,0.106 mg,0.287 mg,0.152 mg,0.036 mg,110.00 IU,27.00 mcg,0,16.00 mcg,0,0,0,0.32 mcg,0.041 mg,0.8 mg,36.00 IU,0,0,0,124.00 mg,0.083 mg,0.30 mg,20.00 mg,0.068 mg,97.00 mg,179.00 mg,2.1 mcg,0.50 mg,3.20 g,0.115 g,0.122 g,0.248 g,0.030 g,0.655 g,0.082 g,0.084 g,0,0.188 g,0.303 g,0.247 g,0.077 g,0.154 g,0.302 g,0.171 g,0.143 g,0.044 g,0.151 g,0.211 g,13.34 g,0.5 g,0,0,0,0,0,0,0,3.34 g,1.999 g,0.932 g,0.121 g,12.00 mg,0.0 g,0.79 g,1.00 mg,42.00 mg,79.29 g
"Puddings, prepared with whole milk, dry mix, tapioca",100 g,115,2.9g,1.7g,12mg,120.00 mg,0,4.00 mcg,0.00 mcg,0.073 mg,0.272 mg,0.140 mg,0.030 mg,108.00 IU,25.00 mcg,0,15.00 mcg,0,0,0,0.25 mcg,0.033 mg,0.7 mg,34.00 IU,0,0,0,103.00 mg,0.013 mg,0.06 mg,12.00 mg,0.009 mg,81.00 mg,131.00 mg,1.9 mcg,0.34 mg,2.84 g,0.098 g,0.104 g,0.216 g,0.026 g,0.596 g,0.061 g,0.077 g,0,0.172 g,0.278 g,0.225 g,0.072 g,0.137 g,0.275 g,0.154 g,0.129 g,0.040 g,0.137 g,0.190 g,19.43 g,0.0 g,0,0,0,0,0,0,0,2.89 g,1.724 g,0.786 g,0.107 g,12.00 mg,0.0 g,0.85 g,0.00 mg,0.00 mg,73.97 g
"Cheese, no sodium added, 1% milkfat, lowfat, cottage",100 g,72,1g,0.6g,4mg,13.00 mg,17.5 mg,12.00 mcg,0.00 mcg,0.130 mg,0,0.160 mg,0.020 mg,40.00 IU,11.00 mcg,0.00 mcg,3.00 mcg,0.00 mcg,0.00 mcg,0,0.63 mcg,0.070 mg,0.0 mg,0.00 IU,0.01 mg,0.01 mg,0.1 mcg,61.00 mg,0.028 mg,0.14 mg,5.00 mg,0,134.00 mg,86.00 mg,8.4 mcg,0.38 mg,12.40 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.70 g,0.0 g,2.70 g,0,0,0,0,0,0,1.00 g,0.632 g,0.284 g,0.031 g,4.00 mg,0.0 g,0.40 g,0.00 mg,0.00 mg,83.50 g
"Cereals ready-to-eat, Fruity CHEERIOS, GENERAL MILLS",100 g,381,4.6g,0.7g,0,501.00 mg,17.5 mg,741.00 mcg,722.00 mcg,18.500 mg,0,1.600 mg,1.390 mg,1852.00 IU,534.00 mcg,25.00 mcg,38.00 mcg,0.00 mcg,687.00 mcg,0,5.59 mcg,1.850 mg,55.6 mg,148.00 IU,0.79 mg,0.79 mg,0.9 mcg,370.00 mg,0.194 mg,16.70 mg,30.00 mg,0,222.00 mg,214.00 mg,13.1 mcg,13.89 mg,5.80 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.19 g,5.9 g,32.20 g,0,0,0,0,0,0,4.59 g,0.690 g,1.790 g,1.890 g,0.00 mg,0.0 g,3.20 g,0.00 mg,0.00 mg,2.20 g
"Soybeans, stir-fried, cooked, sprouted, mature seeds",100 g,125,7.1g,1g,0,14.00 mg,0,127.00 mcg,0.00 mcg,1.100 mg,1.186 mg,0.190 mg,0.420 mg,17.00 IU,1.00 mcg,0,0,0,0,0,0.00 mcg,0.168 mg,12.0 mg,0.00 IU,0,0,0,82.00 mg,0.527 mg,0.40 mg,96.00 mg,1.133 mg,216.00 mg,567.00 mg,0.6 mcg,2.10 mg,13.10 g,0.549 g,0.905 g,1.775 g,0.157 g,1.968 g,0.503 g,0.348 g,0,0.581 g,0.939 g,0.752 g,0.138 g,0.641 g,0.675 g,0.652 g,0.503 g,0.159 g,0.478 g,0.620 g,9.40 g,0.8 g,0,0,0,0,0,0,0,7.10 g,0.985 g,1.609 g,4.009 g,0.00 mg,0,3.20 g,0,0,67.20 g
"Yogurt, lowfat, flavors other than chocolate, frozen",100 g,139,2.5g,1.5g,45mg,45.00 mg,16.0 mg,3.00 mcg,0.00 mcg,0.049 mg,0,0.125 mg,0.028 mg,122.00 IU,34.00 mcg,0.00 mcg,6.00 mcg,0.00 mcg,0.00 mcg,0,0.05 mcg,0.028 mg,0.0 mg,2.00 IU,0.06 mg,0.06 mg,0.2 mcg,200.00 mg,0.006 mg,0.00 mg,7.00 mg,0,62.00 mg,108.00 mg,1.3 mcg,0.19 mg,8.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.00 g,0.0 g,21.00 g,0,0,0,0,0,0,2.50 g,1.509 g,0.685 g,0.069 g,45.00 mg,0.0 g,0.42 g,0.00 mg,0.00 mg,68.08 g
"Fruit juice smoothie, strawberry banana, NAKED JUICE",100 g,50,0.3g,0.1g,0,2.00 mg,3.8 mg,35.00 mcg,0.00 mcg,0.310 mg,0,0.057 mg,0.040 mg,31.00 IU,2.00 mcg,7.00 mcg,11.00 mcg,9.00 mcg,26.00 mcg,0,0.00 mcg,0.115 mg,8.4 mg,0.00 IU,0.13 mg,0.13 mg,0.9 mcg,10.00 mg,0.040 mg,0.20 mg,14.00 mg,0.180 mg,18.00 mg,201.00 mg,0.4 mcg,0.08 mg,0.48 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.66 g,0.6 g,10.05 g,4.42 g,0.00 g,2.80 g,0.00 g,0.00 g,2.83 g,0.27 g,0.092 g,0.024 g,0.044 g,0.00 mg,0.0 g,0.31 g,0.00 mg,0.00 mg,87.28 g
"Turkey from whole, simmered, cooked, meat only, neck",100 g,162,7.4g,2.2g,128mg,246.00 mg,77.7 mg,7.00 mcg,0.00 mcg,5.880 mg,0.874 mg,0.288 mg,0.048 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,1.42 mcg,0.375 mg,0.0 mg,12.00 IU,0.64 mg,0.64 mg,0.0 mcg,58.00 mg,0.158 mg,1.18 mg,18.00 mg,0.053 mg,182.00 mg,114.00 mg,36.2 mcg,4.03 mg,22.48 g,1.215 g,1.273 g,1.797 g,0.212 g,3.048 g,0.959 g,0.609 g,0,0.644 g,1.558 g,1.855 g,0.588 g,0.725 g,1.214 g,0.891 g,0.816 g,0.239 g,0.668 g,0.719 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,7.36 g,2.216 g,2.527 g,2.038 g,128.00 mg,0.0 g,1.12 g,0.00 mg,0.00 mg,69.47 g
"Pasta mix, unprepared, classic cheeseburger macaroni",100 g,349,1.9g,0.4g,1mg,2152.00 mg,8.8 mg,122.00 mcg,109.00 mcg,5.703 mg,0.595 mg,0.433 mg,0.860 mg,371.00 IU,25.00 mcg,0.00 mcg,208.00 mcg,0.00 mcg,37.00 mcg,0,0.30 mcg,0.127 mg,2.3 mg,0.00 IU,0.43 mg,0.43 mg,1.1 mcg,28.00 mg,0.140 mg,2.75 mg,35.00 mg,0.655 mg,131.00 mg,204.00 mg,37.8 mcg,0.82 mg,11.60 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.51 g,2.7 g,4.97 g,0.23 g,0.00 g,0.17 g,0.70 g,1.37 g,2.50 g,1.88 g,0.368 g,0.292 g,0.497 g,1.00 mg,0.0 g,5.94 g,0.00 mg,0.00 mg,9.06 g
"PEPPERIDGE FARM, Whole Grain Honey Whole Wheat Bread",100 g,263,3.5g,0.9g,1mg,262.00 mg,0,0,0,4.000 mg,0,0.200 mg,0.200 mg,100.00 IU,0,0,0,0,0,0,0,0,0.9 mg,0,0,0,0,97.00 mg,0,2.60 mg,0,0,0,0,0,0,0.01 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.70 g,9.8 g,8.10 g,0,0,0,0,0,0,3.50 g,0.900 g,0.700 g,1.900 g,1.00 mg,0,1.90 g,0,0,37.40 g
