Recommended Diet,Calories (kcal),Protein (g),Carbs (g),Fat (g),Vitamins,Meal Type,BMI,BMI Category,Minerals,Health Benefits,suitable_age_group,Health Condition
"Cookies, with added fiber, reduced fat, commercially prepared, brownies",345,18,59,18,"C, B",Others,22.0,Normal weight,Magnesium,General nutrition,Adults,"Hepatitis, Malnutrition, Anorexia Nervosa"
"Soybeans, with salt, boiled, cooked, mature seeds",172,41,42,24,"C, D, B, E",Snacks,27.1,Overweight,"Iron, Zinc, Magnesium",General nutrition,Adults,"Myeloma, Epilepsy"
"Beef, raw, choice, trimmed to 0"" fat, separable lean and fat, steak, top blade, shoulder clod, chuck",182,25,87,14,"C, D, B",Snacks,27.7,Overweight,"Zinc, Magnesium",General nutrition,Old age,"Fibromyalgia, Inflammatory Bowel Disease, Liver Disease"
"Pork, roasted, cooked, separable lean only, bone-in, sirloin (roasts), loin, fresh",204,7,35,22,"A, D",Others,18.7,Normal weight,"Iron, Zinc, Magnesium",General nutrition,Children,Anorexia Nervosa
"Sauce, refrigerated, ready-to-serve, pesto with basil, BUITONI, pesto",418,14,3,4,"D, E, C, B",Others,17.8,Underweight,Calcium,General nutrition,Children,"Hemophilia, Eczema"
"Restaurant, spaghetti and meatballs, family style",170,19,10,6,"D, B, C",Snacks,17.3,Underweight,Zinc,General nutrition,Children,"Anemia, Ornithine Transcarbamylase Deficiency, Alzheimer's Disease"
"Formulated bar, SNICKERS MARATHON Honey Nut Oat Bar, MARS SNACKFOOD US",378,47,96,21,"C, A",Breakfast,34.8,Obesity,"Zinc, Calcium, Magnesium",General nutrition,All ages,"Osteoporosis, None"
"Vitasoy USA, Organic Nasoya Extra Firm Tofu",98,47,22,13,"E, A, C",Snacks,22.1,Normal weight,"Magnesium, Iron, Zinc",General nutrition,All ages,"Thalassemia, Epilepsy"
"Chocolate, 70-85% cacao solids, dark",598,28,66,25,"D, B, A",Lunch,25.9,Overweight,Calcium,General nutrition,Adults,"Macular Degeneration, Anemia, Breast Cancer"
"Beef, raw, choice, trimmed to 1/8"" fat, separable lean only, steak, top round, round",140,23,67,24,"D, A, C",Snacks,26.1,Overweight,"Zinc, Magnesium, Iron",General nutrition,Children,"Marfan Syndrome, Neurofibromatosis, Anxiety"
"Fast Foods, vegetables and mayonnaise, large patty; with condiments, cheeseburger; double",253,35,38,3,"B, A",Breakfast,23.8,Normal weight,"Calcium, Iron",General nutrition,Old age,Ovarian Cancer
"Snacks, unsalted nuts and seeds, with chocolate chips, regular, trail mix",484,5,68,3,"C, E, A, B",Others,20.1,Normal weight,Iron,General nutrition,Old age,"Lymphoma, Chronic Pain, Raynaud's Disease"
"Cereals, Regular, Instant Oatmeal Organic, QUAKER",367,32,43,18,"C, A",Breakfast,26.2,Overweight,Iron,"Sustained energy, Digestive health, Blood sugar control",Adults,Mucopolysaccharidosis
"Babyfood, finger snacks cereal fortified, baked product",421,14,63,10,A,Others,20.1,Normal weight,"Zinc, Calcium",General nutrition,Adults,"Myeloma, Raynaud's Disease"
"Beef, cooked, select, trimmed to 1/8"" fat, separable lean and fat, composite of trimmed retail cuts",245,33,52,23,"B, E, D, A",Breakfast,28.5,Overweight,"Iron, Calcium, Zinc",General nutrition,All ages,Eczema
"Pork, roasted, heated, separable lean and fat, bone-in, rump, ham and water product, cured",186,6,68,27,B,Snacks,21.2,Normal weight,"Magnesium, Zinc",General nutrition,Adults,"Binge Eating Disorder, Depression, Hepatitis"
"BURGER KING, with cheese, WHOPPER",250,39,45,22,"E, B, C, D",Breakfast,26.6,Overweight,"Magnesium, Zinc",General nutrition,Children,Sickle Cell Anemia
"Bread, toasted, oat bran, reduced-calorie",239,21,65,29,"A, B, C",Others,27.2,Overweight,"Zinc, Calcium",General nutrition,Adults,"Irritable Bowel Syndrome, Tuberculosis"
"Pie, commercially prepared, lemon meringue",268,0,73,18,"E, C",Others,23.0,Normal weight,Calcium,General nutrition,All ages,"Meningitis, Dementia"
"Cereals, dry, 10 minute cooking, regular, CREAM OF WHEAT",370,22,74,24,"E, D, A, B",Others,29.5,Overweight,Zinc,"Sustained energy, Digestive health, Blood sugar control",Old age,"Breast Cancer, Menopause, Food Allergies"
"Turkey, raw, meat only, whole",112,19,95,26,"B, D, C, E",Snacks,28.3,Overweight,Iron,General nutrition,Children,"Autism Spectrum Disorder, Ulcerative Colitis"
"Beef, raw, separable lean only, striploin, imported, New Zealand",150,47,2,10,"E, B, A",Snacks,23.7,Normal weight,"Zinc, Calcium, Iron",General nutrition,Adults,"Raynaud's Disease, Depression"
"Snacks, mixed flavors, chewy, KASHI TLC Bar, granola bar",429,23,3,4,"A, D",Lunch,19.1,Normal weight,"Zinc, Magnesium, Calcium",General nutrition,Children,Ulcerative Colitis
"Cauliflower, raw",25,19,66,2,"A, E, B, D",Snacks,19.6,Normal weight,"Zinc, Magnesium",General nutrition,All ages,Ehlers-Danlos Syndrome
"Cereals, dry, whole wheat hot natural cereal",342,26,64,12,"A, C",Breakfast,21.2,Normal weight,"Calcium, Zinc","Sustained energy, Digestive health, Blood sugar control",Old age,"Autism Spectrum Disorder, Bipolar Disorder, Mucopolysaccharidosis"
"Oil, whale (Alaska Native), beluga",900,20,26,1,"A, E, D",Others,19.7,Normal weight,"Zinc, Magnesium",General nutrition,All ages,"Malnutrition, Gaucher's Disease"
"Soup, condensed, canned, bean with frankfurters",142,14,92,14,A,Snacks,18.5,Normal weight,"Iron, Calcium",General nutrition,Adults,Hyperthyroidism
"Beef, braised, cooked, all grades, trimmed to 1/8"" fat, separable lean only, flat half, brisket",196,13,14,8,"B, C, E, D",Snacks,18.3,Underweight,"Zinc, Magnesium, Calcium",General nutrition,Adults,"Systemic Lupus Erythematosus, Encephalitis, Angelman Syndrome"
"Infant formula, not reconstituted, liquid concentrate, soy, store brand, PBM PRODUCTS",126,10,22,19,"C, E, B",Snacks,23.8,Normal weight,"Iron, Magnesium",General nutrition,Children,Hemochromatosis
"McDONALD'S, Spicy Buffalo Sauce",142,26,66,15,"C, E, D, B",Snacks,18.9,Normal weight,"Iron, Zinc, Calcium",General nutrition,All ages,"Cystic Fibrosis, Ovarian Cancer"
"Cookies, baked, refrigerated dough, sugar",489,48,7,16,"B, E",Lunch,25.2,Overweight,Iron,General nutrition,Children,Skin Cancer
"Fat, duck",882,33,84,22,"B, D, C, E",Dinner,37.3,Obesity,"Zinc, Calcium",General nutrition,Adults,"Scleroderma, Anemia, Food Allergies"
"Cereals, dry, apples and cinnamon, Instant Oatmeal, QUAKER",366,17,92,5,"D, C, B, A",Breakfast,24.6,Normal weight,"Calcium, Magnesium, Iron","Sustained energy, Digestive health, Blood sugar control",Adults,"Osteoporosis, Macular Degeneration"
"MURRAY, JACKS Vanilla Wafers",438,20,29,4,"C, B, D",Lunch,24.1,Normal weight,"Iron, Magnesium, Calcium",General nutrition,Old age,"Sickle Cell Anemia, Gaucher's Disease"
"Duck, raw, liver, domesticated",136,26,89,12,"C, D, A",Snacks,20.8,Normal weight,"Iron, Calcium, Zinc",General nutrition,Children,"Polycystic Ovary Syndrome (PCOS), GERD"
"Cereals ready-to-eat, KELLOGG'S SPECIAL K Chocolatey Delight",381,29,77,10,"C, D",Breakfast,29.4,Overweight,"Iron, Calcium, Zinc","Sustained energy, Digestive health, Blood sugar control",Old age,Canavan Disease
"Beef, grilled, cooked, select, trimmed to 1/8"" fat, separable lean only, lip-on, boneless, top loin steak, loin",184,30,40,3,"A, D",Snacks,20.1,Normal weight,Iron,General nutrition,Old age,Bulimia Nervosa
"Spices, chili powder",282,45,69,13,"E, D, A",Breakfast,25.2,Overweight,Calcium,General nutrition,Adults,"Thalassemia, Arthritis"
"Puddings, instant, dry mix, banana",367,9,47,17,"D, E",Others,20.5,Normal weight,"Calcium, Iron, Magnesium",General nutrition,All ages,"Cushing's Syndrome, Galactosemia, Arthritis"
"Turkey, raw, meat and skin, wing, retail parts",202,24,16,14,"B, C",Others,21.1,Normal weight,"Magnesium, Zinc",General nutrition,Adults,"Food Allergies, Tuberculosis, Ulcers"
"Candies, YORK Peppermint Pattie",384,21,88,2,"C, D",Breakfast,21.0,Normal weight,"Magnesium, Calcium, Zinc",General nutrition,Adults,"COPD, Hypoglycemia, Osteoporosis"
"Wheat flour, enriched, bleached, 9% protein, white (industrial)",367,11,35,3,"B, A, E, D",Breakfast,22.5,Normal weight,"Magnesium, Zinc, Iron",General nutrition,Adults,"Marfan Syndrome, Macular Degeneration, Maple Syrup Urine Disease"
"Beef, broiled, cooked, choice, trimmed to 0"" fat, separable lean and fat, top blade, chuck",227,40,9,25,A,Others,25.1,Overweight,"Magnesium, Calcium, Iron",General nutrition,All ages,"Acromegaly, Gout, Marfan Syndrome"
"Beef, raw, Aust. marble score 4/5, external fat, Wagyu, imported, Australian",596,24,39,0,"E, B, D, A",Lunch,19.8,Normal weight,"Magnesium, Iron, Zinc",General nutrition,Adults,"Cataracts, Seizure Disorders"
"Turkey roast, raw, light and dark meat, seasoned, frozen, boneless",120,24,48,25,"C, A, B, E",Snacks,23.9,Normal weight,"Zinc, Calcium, Iron",General nutrition,Adults,"Bulimia Nervosa, Glaucoma"
"MORI-NU, lite firm, silken, Tofu",37,8,94,19,"C, E, B",Snacks,22.9,Normal weight,"Calcium, Iron, Zinc",General nutrition,Old age,"Neurofibromatosis, GERD, Dementia"
"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean and fat, steak, flank",263,37,37,8,"E, A, D, B",Others,22.2,Normal weight,"Iron, Magnesium, Zinc",General nutrition,Children,Food Allergies
"Chicken, batter, fried, cooked, meat and skin, dark meat, broilers or fryers",298,17,53,14,"B, C",Breakfast,19.2,Normal weight,Calcium,General nutrition,Adults,Hypothyroidism
"Babyfood, dry fortified, with apples, whole wheat, cereal",402,19,54,10,"E, C, A, D",Lunch,19.8,Normal weight,"Iron, Zinc",General nutrition,Adults,"Ulcerative Colitis, Diverticulitis"
"Arugula, raw",25,3,94,0,E,Snacks,24.5,Normal weight,"Calcium, Iron",General nutrition,Children,Fibromyalgia
"Tofu, prepared with calcium sulfate, firm, raw",144,43,69,17,"E, B, D",Snacks,26.9,Overweight,Iron,General nutrition,Old age,Marfan Syndrome
"Beef, grilled, cooked, select, trimmed to 0"" fat, separable lean and fat, medallion, shoulder tender, shoulder clod, chuck",172,33,11,18,"B, D",Snacks,18.7,Normal weight,Zinc,General nutrition,Children,Breast Cancer
"Beef, raw, choice, trimmed to 1/8"" fat, separable lean and fat, large end (ribs 6-9), rib",333,38,24,1,"D, C, E, A",Others,24.3,Normal weight,Magnesium,General nutrition,Old age,Lymphoma
"WORTHINGTON Dinner Roast, unprepared, frozen",213,21,78,9,"D, E",Breakfast,22.3,Normal weight,"Calcium, Iron",General nutrition,Old age,Glaucoma
"Mothbeans, raw, mature seeds",343,13,8,23,"B, C",Others,19.5,Normal weight,Iron,General nutrition,Children,"Bulimia Nervosa, Hepatitis, Ornithine Transcarbamylase Deficiency"
"T.G.I. FRIDAY'S, breaded, FRIDAY'S Shrimp",302,0,35,10,"A, E",Others,19.4,Normal weight,"Calcium, Zinc",General nutrition,Adults,"Crohn's Disease, Systemic Lupus Erythematosus, Hepatitis"
"Soup, single brand, ready-to-serve, chunky, chicken mushroom chowder",80,38,17,22,"B, D, C, E",Snacks,19.8,Normal weight,"Calcium, Zinc, Iron",General nutrition,Adults,"Kidney Disease, Schizophrenia, Skin Cancer"
"Cookies, made with rice cereal, chocolate",440,18,5,12,"C, E, A, D",Lunch,24.3,Normal weight,"Calcium, Magnesium, Iron",General nutrition,Old age,"Schizophrenia, Glycogen Storage Disease"
"Turkey, roasted, cooked, meat and skin, back, all classes",244,41,56,13,C,Breakfast,28.5,Overweight,"Zinc, Iron",General nutrition,Old age,"Hemophilia, Cancer, Ovarian Cancer"
"Pie crust, baked, prepared from recipe, standard-type",527,1,95,20,"B, A, E",Others,28.9,Overweight,Calcium,General nutrition,Old age,"Neurofibromatosis, Encephalitis, Epilepsy"
"Peaches, uncooked, sulfured, dehydrated (low-moisture)",325,2,18,3,A,Others,17.0,Underweight,"Iron, Zinc, Calcium",General nutrition,All ages,"Parkinson's Disease, Osteoporosis"
"Beef, raw or unheated, breakfast strips, cured",406,5,40,20,"E, C",Others,21.0,Normal weight,Iron,General nutrition,All ages,"Psoriasis, Pancreatitis, Phenylketonuria"
"Bread, pan de torta salvadoran, pound cake type",390,46,70,9,A,Breakfast,27.4,Overweight,"Calcium, Magnesium",General nutrition,All ages,"Inflammatory Bowel Disease, Cancer"
"Beef, raw, select, trimmed to 0"" fat, separable lean and fat, composite of trimmed retail cuts",157,11,74,18,A,Snacks,22.1,Normal weight,"Zinc, Iron, Calcium",General nutrition,Children,"Addison's Disease, COPD"
"Beans, solids and liquids, canned, mature seeds, pinto",82,43,16,18,"B, D",Snacks,19.4,Normal weight,Zinc,General nutrition,Old age,"Lactose Intolerance, Endometriosis, Thyroid Disorders"
"CAMPBELL'S Soup on the Go, Chicken with Mini Noodles Soup",26,12,93,20,B,Snacks,23.2,Normal weight,Magnesium,General nutrition,All ages,Hemochromatosis
"Cowpeas, raw, mature seeds, common (blackeyes, crowder, southern)",336,7,30,11,"D, E, C, B",Others,19.2,Normal weight,"Zinc, Calcium",General nutrition,Adults,"Eating Disorders, Gaucher's Disease"
"Cookies, chocolate-covered, sugar wafer",526,23,10,10,"C, E, D, A",Lunch,19.7,Normal weight,"Calcium, Iron, Zinc",General nutrition,All ages,Sepsis
Chilchen (Red Berry Beverage) (Navajo),44,28,56,3,"A, B",Snacks,24.3,Normal weight,"Magnesium, Zinc, Calcium","Antioxidant boost, Immune support, Skin health",All ages,"Polycystic Ovary Syndrome (PCOS), Phenylketonuria"
"Chicken, raw, meat and skin, wing, broilers or fryers",191,29,11,15,E,Snacks,23.2,Normal weight,"Calcium, Iron",General nutrition,Children,"Malnutrition, Seizure Disorders"
"MORNINGSTAR FARMS Sausage Style Recipe Crumbles, unprepared, frozen",159,41,74,6,"E, A, D, C",Snacks,24.6,Normal weight,Zinc,General nutrition,Adults,"Hypothyroidism, Tay-Sachs Disease, Anemia"
"Rye flour, light",357,42,81,24,"A, B, C, D",Breakfast,27.6,Overweight,Iron,General nutrition,Adults,"Phenylketonuria, Wilson's Disease"
"MORNINGSTAR FARMS Veggie Dog, unprepared, frozen",126,46,47,21,E,Snacks,26.6,Overweight,"Zinc, Iron",General nutrition,Children,"Depression, Cataracts"
"UDI'S, Whole Grain Dinner Rolls, Gluten Free",329,24,24,29,"C, D, A",Others,28.8,Overweight,"Iron, Zinc, Magnesium","Sustained energy, Digestive health, Blood sugar control",Adults,"Neurofibromatosis, Hyperglycemia"
"Pork, raw, separable lean and fat, boneless, Leg Cap Steak",123,0,43,22,"C, E, A, D",Snacks,24.2,Normal weight,Calcium,General nutrition,Children,"Asthma, Hypertension"
"Lamb, raw, kidney, imported, New Zealand",84,9,57,3,D,Snacks,17.9,Underweight,Magnesium,General nutrition,Old age,Hemochromatosis
"Pastrami, turkey",139,6,41,20,"C, B, E",Snacks,19.2,Normal weight,"Iron, Zinc",General nutrition,Adults,"Ornithine Transcarbamylase Deficiency, Addison's Disease, Lymphoma"
"Pie, unenriched flour, commercially prepared, apple",237,4,63,15,"A, E, D",Others,19.9,Normal weight,"Calcium, Zinc, Iron",General nutrition,All ages,"Ulcerative Colitis, Irritable Bowel Syndrome, Addison's Disease"
"CAMPBELL'S Red and White, condensed, GOLDFISH Pasta with Chicken in Chicken Broth",63,3,94,10,"D, E, B, C",Snacks,24.8,Normal weight,Magnesium,General nutrition,All ages,"Hyperthyroidism, Mucopolysaccharidosis"
"CAMPBELL'S Red and White, condensed, Beef with Vegetables and Barley Soup",71,16,0,2,"B, D, A",Snacks,18.2,Underweight,Zinc,"Cancer prevention, Eye health, Bone strength",Old age,"Chronic Fatigue Syndrome, Tay-Sachs Disease, Cystic Fibrosis"
"Fast foods, french toast with butter",264,43,87,7,"E, B",Breakfast,25.9,Overweight,Magnesium,General nutrition,Children,"Fabry Disease, High Cholesterol, Gaucher's Disease"
"Veal, raw, separable lean only, leg (top round)",107,22,59,1,E,Snacks,22.4,Normal weight,"Iron, Calcium, Zinc",General nutrition,All ages,"Sleep Apnea, Hyperglycemia"
"Seeds, without salt, dry roasted, sunflower seed kernels",582,29,1,18,"D, A",Lunch,24.8,Normal weight,Calcium,"Heart health, Weight management, Brain function",Adults,"Rett Syndrome, Epilepsy"
"SUBWAY, lettuce and tomato, B.L.T. sub on white bread with bacon",205,1,52,8,"B, E",Others,23.7,Normal weight,"Magnesium, Iron, Zinc",General nutrition,Children,"Epilepsy, Autism Spectrum Disorder, Raynaud's Disease"
"Turkey from whole, raw, with added solution, meat and skin, light meat",147,36,28,16,"C, A, E",Snacks,22.4,Normal weight,"Iron, Zinc",General nutrition,All ages,"Hyperoxaluria, Anemia"
"Spices, celery seed",392,10,5,12,"A, D",Others,23.3,Normal weight,Zinc,General nutrition,Adults,"Phenylketonuria, Parkinson's Disease"
"Luncheon meat, includes SPAM (Hormel), canned, minced, pork with ham",315,8,24,29,"B, A, E",Others,19.5,Normal weight,"Zinc, Magnesium",General nutrition,Children,"Lung Cancer, Phenylketonuria, Thalassemia"
"Ice cream bar, covered with chocolate and nuts",303,24,29,1,E,Breakfast,23.2,Normal weight,"Zinc, Iron",General nutrition,Children,"Ehlers-Danlos Syndrome, Wilson's Disease, Ornithine Transcarbamylase Deficiency"
"HOT POCKETS, frozen, and Cheddar Stuffed Sandwich, Broccoli, CROISSANT POCKETS Chicken",235,3,25,17,A,Others,20.3,Normal weight,Iron,General nutrition,Children,"Autism Spectrum Disorder, Zellweger Spectrum Disorder, Malnutrition"
"Yogurt, nonfat, strawberry, Greek",82,23,83,2,"E, C, A, B",Snacks,21.5,Normal weight,Zinc,General nutrition,Old age,"Parkinson's Disease, Cancer"
"Rice, dry, enriched, parboiled, long-grain, white",374,7,96,12,"C, D",Others,23.6,Normal weight,Zinc,General nutrition,Adults,Mucopolysaccharidosis
"Cheese, reduced fat, blend, Mexican",282,48,23,17,"A, D, E",Others,28.3,Overweight,"Zinc, Iron",General nutrition,Children,"Lactose Intolerance, Anemia"
"Frostings, prepared-from-recipe, glaze",341,4,68,10,E,Others,20.5,Normal weight,Zinc,General nutrition,Old age,"Eating Disorders, Bipolar Disorder"
"Peanut butter, reduced sodium",590,5,33,8,"A, B, C, D",Others,22.5,Normal weight,Magnesium,General nutrition,Children,"Rett Syndrome, Diabetes"
"Rice noodles, dry",364,27,33,26,"A, B, C",Breakfast,29.8,Overweight,"Iron, Magnesium",General nutrition,Children,"Hemochromatosis, Cystic Fibrosis"
"Babyfood, arrowroot, cookies",424,2,37,25,D,Others,20.4,Normal weight,Magnesium,General nutrition,All ages,"Hyperoxaluria, Eating Disorders"
"Cereals ready-to-eat, KELLOGG'S SPECIAL K Chocolate Almond",375,7,10,15,"E, B",Others,23.3,Normal weight,Zinc,"Sustained energy, Digestive health, Blood sugar control",Children,Zellweger Spectrum Disorder
"Stew, dumpling with mutton (Navajo)",101,19,94,14,D,Snacks,19.3,Normal weight,"Zinc, Magnesium",General nutrition,All ages,Psoriasis
"Cream, light whipping, fluid",292,49,38,5,"C, A",Others,20.2,Normal weight,"Calcium, Iron, Magnesium",General nutrition,Children,"Diabetes, Ovarian Cancer, Diverticulitis"
"Cereals, dry, unenriched, regular and quick, yellow, corn grits",371,39,36,15,"D, E, A",Others,29.1,Overweight,"Iron, Calcium","Sustained energy, Digestive health, Blood sugar control",Adults,"Diverticulitis, Cancer"
"Babyfood, instant fortified, dry, rice with pears and apple, cereal",389,29,3,1,"E, C, A, D",Others,19.5,Normal weight,"Iron, Zinc, Magnesium",General nutrition,Adults,Mucopolysaccharidosis
"Oil, original, PAM cooking spray",792,0,34,9,"A, B, C",Others,23.7,Normal weight,"Calcium, Magnesium, Zinc",General nutrition,Old age,Lactose Intolerance
"Tortilla, Sakwavikaviki (Hopi), blue corn",276,46,17,29,"B, C",Others,25.8,Overweight,"Zinc, Calcium, Iron",General nutrition,Children,"Anorexia Nervosa, Attention Deficit Hyperactivity Disorder (ADHD)"
"Snack, plain, made from dried potatoes, potato chips",545,8,8,15,"D, C",Others,21.9,Normal weight,"Magnesium, Iron, Calcium",General nutrition,Children,"Cancer, Mucopolysaccharidosis, Galactosemia"
"Pork, roasted, extra lean (approximately 5% fat), boneless, ham, cured",145,39,12,22,B,Snacks,21.6,Normal weight,Calcium,General nutrition,Adults,Bulimia Nervosa
"Sauce, ready to serve, mild, red, enchilada",30,11,46,29,A,Snacks,18.7,Normal weight,Magnesium,General nutrition,Children,Irritable Bowel Syndrome
"Margarine-like, with salt, tub, vegetable oil-butter spread",362,18,11,14,"A, D",Others,22.1,Normal weight,"Zinc, Magnesium, Calcium",General nutrition,Children,Diabetes
"Peas, raw, green",81,36,76,6,"C, E, D",Snacks,22.8,Normal weight,"Magnesium, Zinc, Calcium",General nutrition,Children,"Irritable Bowel Syndrome, Lymphoma, Congenital Heart Disease"
"Beef, broiled, cooked, select, trimmed to 0"" fat, separable lean and fat, steak, flank",183,43,21,20,E,Snacks,20.1,Normal weight,"Iron, Magnesium",General nutrition,All ages,"Autism Spectrum Disorder, Addison's Disease, Wilson's Disease"
"Fish, dry heat, cooked, Atlantic, ocean perch",96,10,16,11,"A, D",Snacks,17.0,Underweight,Iron,"Brain development, Joint health, Mood improvement",All ages,Bipolar Disorder
"Candies, POP'ABLES SNICKERS Brand Bite Size Candies, MARS SNACKFOOD US",480,32,12,20,"C, A, D, B",Lunch,22.9,Normal weight,"Iron, Magnesium",General nutrition,Adults,Sickle Cell Anemia
"USDA Commodity, with broth, meat only, canned, Chicken",133,9,1,2,A,Snacks,16.9,Underweight,Calcium,General nutrition,Adults,Sleep Apnea
"Candies, SNICKERS MUNCH bar, MARS SNACKFOOD US",536,45,32,6,"D, C, B",Lunch,28.9,Overweight,"Zinc, Iron, Calcium",General nutrition,Old age,"Macular Degeneration, HIV/AIDS, Sickle Cell Anemia"
"Gravy, powder, dry, mushroom",328,41,43,4,"B, D, C, A",Breakfast,21.7,Normal weight,Zinc,General nutrition,Adults,"Ulcers, Binge Eating Disorder, Zellweger Spectrum Disorder"
"Lamb, raw, separable lean only, composite of trimmed retail cuts, frozen, imported, New Zealand",128,14,17,0,"E, D",Snacks,17.9,Underweight,"Zinc, Calcium",General nutrition,Children,"Depression, Celiac Disease"
Wasabi,292,11,22,28,D,Others,23.9,Normal weight,"Zinc, Calcium, Iron",General nutrition,Children,"Macular Degeneration, HIV/AIDS, Congenital Heart Disease"
"Chicken, raw, meat and skin, drumstick, broilers or fryers",161,28,30,5,"D, E, A, C",Snacks,24.8,Normal weight,Iron,General nutrition,Adults,"HIV/AIDS, Autism Spectrum Disorder"
"Fast foods, regular patty; plain, cheeseburger; triple",310,3,77,27,"A, D",Others,27.8,Overweight,"Calcium, Zinc, Magnesium",General nutrition,Children,Psoriasis
"SUNSHINE, Asiago Crackers, CHEEZ-IT",502,25,34,22,"B, A",Lunch,28.8,Overweight,"Zinc, Magnesium, Iron",General nutrition,Adults,"Heart Disease, Breast Cancer"
"Corn, solids and liquids, no salt added, whole kernel, canned, white, sweet",64,8,21,22,"A, B",Snacks,22.5,Normal weight,"Zinc, Iron, Magnesium",General nutrition,All ages,"Celiac Disease, Canavan Disease"
"Egg, dried, whole",592,48,40,25,"A, B",Lunch,27.3,Overweight,"Calcium, Iron, Zinc",General nutrition,Children,"Tuberculosis, Scleroderma"
"Milk, without added vitamin A and vitamin D, 3.25% milkfat, whole",61,6,68,21,"C, E, A, D",Snacks,22.5,Normal weight,"Calcium, Iron, Zinc",General nutrition,Adults,Ovarian Cancer
"Oil, cocoa butter",884,10,26,25,B,Others,29.0,Overweight,"Iron, Magnesium",General nutrition,Children,Chronic Pain
"Lamb, raw, separable lean and fat, loin chop, imported, New Zealand",298,32,10,18,"A, E, B, C",Others,24.5,Normal weight,"Calcium, Zinc, Iron",General nutrition,All ages,Crohn's Disease
"Fast foods, with beans, burrito",206,16,38,17,C,Others,21.7,Normal weight,Iron,General nutrition,Old age,"Cancer, Ovarian Cancer"
"Potatoes, unprepared, dry mix, scalloped",358,39,84,15,E,Breakfast,28.4,Overweight,Calcium,General nutrition,Adults,"Hypothyroidism, Cancer"
"Beef, raw, all grades, trimmed to 1/8"" fat, separable lean only, steak, top sirloin",131,3,95,25,E,Snacks,28.1,Overweight,Calcium,General nutrition,Children,Angelman Syndrome
"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean only, boneless, tenderloin steak, loin",211,40,66,4,"C, D, B, A",Breakfast,24.5,Normal weight,"Zinc, Calcium, Magnesium",General nutrition,All ages,"Encephalitis, Attention Deficit Hyperactivity Disorder (ADHD)"
"Candies, crispy bar with peanut butter filling",542,39,57,8,"C, B",Lunch,27.3,Overweight,"Magnesium, Zinc",General nutrition,Adults,Menopause
"Beef, raw, choice, trimmed to 1/4"" fat, separable lean only, shank crosscuts",128,20,44,27,"D, E, A",Snacks,21.3,Normal weight,Magnesium,General nutrition,Adults,Crohn's Disease
"Beef, raw, choice, trimmed to 0"" fat, separable lean only, boneless, tenderloin steak, loin",143,17,63,4,D,Snacks,22.1,Normal weight,"Iron, Calcium",General nutrition,Children,"Gaucher's Disease, High Cholesterol"
"Cereals, dry, golden brown maple, Instant Oatmeal, KASHI HEART TO HEART",356,26,58,27,D,Others,27.3,Overweight,"Calcium, Iron, Magnesium","Sustained energy, Digestive health, Blood sugar control",Adults,COPD
"Veal, roasted, cooked, separable lean and fat, arm, shoulder",183,12,73,13,"A, E",Snacks,21.4,Normal weight,"Calcium, Iron",General nutrition,Children,"Acromegaly, Zellweger Spectrum Disorder, Heart Disease"
"Cowpeas, without salt, boiled, cooked, mature seeds, catjang",117,39,23,11,"A, E, B, D",Snacks,22.1,Normal weight,"Calcium, Zinc",General nutrition,Adults,"Phenylketonuria, Lymphoma, Skin Cancer"
"Salad dressing, coleslaw",390,23,89,0,"A, C, B",Breakfast,23.1,Normal weight,Magnesium,General nutrition,Children,Angelman Syndrome
"Beef, raw, choice, trimmed to 1/8"" fat, separable lean and fat, steak, tenderloin",246,21,3,13,"D, C, B",Others,23.1,Normal weight,"Calcium, Zinc",General nutrition,All ages,"Breast Cancer, Leigh Syndrome"
"KELLOGG'S, Low Fat, Waffles, NUTRI-GRAIN, EGGO",201,0,88,9,D,Others,19.3,Normal weight,Zinc,General nutrition,Adults,"Liver Disease, Lactose Intolerance, Macular Degeneration"
"SUNSHINE, BIG Crackers, CHEEZ-IT",507,24,94,11,"D, B, E",Lunch,29.1,Overweight,"Magnesium, Iron",General nutrition,Old age,"Hyperoxaluria, Hypoglycemia, Ovarian Cancer"
"Tortillas, without added salt, corn, ready-to-bake or -fry",222,15,90,13,"B, D, E",Breakfast,21.9,Normal weight,"Calcium, Zinc, Magnesium",General nutrition,Old age,"Pelvic Inflammatory Disease, HIV/AIDS, Diabetes"
"CAMPBELL'S CHUNKY Microwavable Bowls, ready-to-serve, Grilled Chicken and Sausage Gumbo",57,16,73,23,"C, B, A, D",Snacks,22.1,Normal weight,"Calcium, Magnesium, Zinc",General nutrition,Old age,"Prostate Cancer, Crohn's Disease, Glycogen Storage Disease"
"Beef, raw, choice, trimmed to 1/8"" fat, separable lean only, composite of trimmed retail cuts",147,31,62,4,"C, B, E, A",Snacks,19.0,Normal weight,"Magnesium, Iron, Calcium",General nutrition,Adults,"Raynaud's Disease, Sickle Cell Anemia, Macular Degeneration"
"Pork, roasted, cooked, separable lean and fat, spareribs, fresh",361,42,25,3,"E, B, C, D",Others,24.3,Normal weight,"Calcium, Zinc",General nutrition,Adults,Gallstones
