food_name,serving_size (g),calories (kcal),protein (g),carbohydrates (g),fats(g),vitamins,minerals,health_benefits,suitable_age_group,health_condition_considerations
"Oil, non-dairy, used for whipped toppings, palm kernel (hydrogenated) , industrial",100.0,884.0,4.0,30.0,27.0,E,Calcium,General nutrition,Adults,"Sjogren's Syndrome, Ulcerative Colitis, Multiple Sclerosis"
"Fast foods, and mayonnaise, lettuce, with cheese, bacon and tomato club sandwich, grilled chicken",100.0,220.0,17.0,18.0,25.0,"A, D, B",Iron,General nutrition,Children,Glaucoma
"Pork, unheated, separable lean and fat, bone-in, slice, ham with natural juices, cured",100.0,159.0,31.0,98.0,13.0,D,Calcium,General nutrition,Children,Gout
"McDONALD'S, McCHICKEN Sandwich (without mayonnaise)",100.0,240.0,1.0,16.0,24.0,"C, A, D","Iron, Magnesium, Zinc",General nutrition,Adults,"Wilson's Disease, Malnutrition"
"Peanut butter, with salt, chunk style",100.0,589.0,7.0,14.0,4.0,"A, C, D","Magnesium, Zinc, Iron",General nutrition,All ages,"Glycogen Storage Disease, Fibromyalgia, Food Allergies"
"Brussels sprouts, raw",100.0,43.0,41.0,73.0,16.0,D,"Iron, Magnesium, Zinc",General nutrition,Old age,"Schizophrenia, Menopause"
"Grapefruit juice, undiluted, unsweetened, frozen concentrate, white",100.0,146.0,8.0,36.0,14.0,B,Iron,General nutrition,Old age,Myeloma
"Beef, grilled, cooked, select, trimmed to 0"" fat, separable lean and fat, shoulder top and center steaks, shoulder clod, chuck",100.0,176.0,3.0,18.0,17.0,"D, B, E, A","Magnesium, Iron",General nutrition,All ages,Bipolar Disorder
"Cereals, banana bread, Weight Control Instant Oatmeal, QUAKER",100.0,361.0,18.0,29.0,14.0,"D, B","Magnesium, Calcium","Sustained energy, Digestive health, Blood sugar control",Adults,Malnutrition
"Pigeonpeas, with salt, drained, boiled, cooked, immature seeds",100.0,111.0,34.0,41.0,7.0,B,Iron,General nutrition,Adults,"Celiac Disease, Thyroid Disorders, GERD"
"Soymilk (all flavors), vitamins A and D, with added calcium, unsweetened",100.0,33.0,27.0,21.0,1.0,"C, B","Zinc, Calcium, Iron",General nutrition,Adults,"Zellweger Spectrum Disorder, Hyperoxaluria"
"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean only, boneless, shoulder pot roast",100.0,196.0,20.0,85.0,14.0,C,"Calcium, Zinc",General nutrition,All ages,Menopause
"Scrapple, pork",100.0,213.0,10.0,45.0,13.0,"B, E, A, C","Zinc, Magnesium, Iron",General nutrition,Children,"Celiac Disease, Diabetes"
"Babyfood, strained, dutch apple, dessert",100.0,75.0,13.0,5.0,10.0,"A, E, C, D",Iron,General nutrition,Old age,Acromegaly
"Beef, grilled, cooked, all grades, trimmed to 1/8"" fat, separable lean only, bone-in, t-bone steak, short loin",100.0,212.0,20.0,97.0,5.0,"C, E, A","Iron, Calcium, Zinc",General nutrition,Adults,"Cataracts, Mucopolysaccharidosis"
"Fruit juice smoothie, ORIGINAL SUPERFOOD, ODWALLA",100.0,50.0,49.0,28.0,13.0,"D, E, B, A",Zinc,"Antioxidant boost, Immune support, Skin health",All ages,"Canavan Disease, Neurofibromatosis"
Nkatie Cake,100.0,240.0,9.0,30.0,10.0,D,Magnesium,High protein,good source of iron,General
"Beef, raw, select, trimmed to 1/8"" fat, separable lean only, steak, top sirloin",100.0,127.0,39.0,4.0,15.0,"B, D, E",Iron,General nutrition,All ages,"Diabetes, Canavan Disease"
"SILK Plus Fiber, soymilk",100.0,41.0,43.0,45.0,18.0,"A, B",Iron,General nutrition,All ages,"Hyperoxaluria, Fibromyalgia"
"Cookies, Marie biscuit",100.0,406.0,34.0,48.0,6.0,"E, D, A","Iron, Zinc",General nutrition,All ages,Crohn's Disease
"Orange juice, with added calcium, undiluted, unsweetened, frozen concentrate",100.0,147.0,0.0,45.0,21.0,D,"Zinc, Iron",General nutrition,Children,Binge Eating Disorder
"Beef, roasted, cooked, select, trimmed to 0"" fat, separable lean only, clod roast, chuck",100.0,172.0,43.0,72.0,0.0,"B, A, E, C",Calcium,General nutrition,All ages,"Alzheimer's Disease, Mucopolysaccharidosis, Lymphoma"
"Beef, simmered, cooked, tongue, variety meats and by-products",100.0,284.0,40.0,50.0,20.0,D,"Calcium, Zinc, Iron",General nutrition,All ages,"Seizure Disorders, Angelman Syndrome, Gaucher's Disease"
"Beef, raw, select, trimmed to 1/8"" fat, separable lean only, steak, tenderloin",100.0,148.0,30.0,59.0,0.0,"E, B, C","Zinc, Iron, Magnesium",General nutrition,Children,"Thyroid Disorders, Lung Cancer"
"Lamb, broiled, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, whole (arm and blade), shoulder, domestic",100.0,268.0,31.0,51.0,10.0,"E, C, A","Calcium, Zinc, Iron",General nutrition,Children,Pancreatitis
"Lamb, broiled, cooked, separable lean only, loin, frozen, imported, New Zealand",100.0,199.0,43.0,27.0,8.0,"A, C, D","Zinc, Iron, Calcium",General nutrition,All ages,Hemophilia
"Pork, roasted, heated, separable lean only, bone-in, shank, ham with natural juices, cured",100.0,145.0,40.0,98.0,15.0,"E, B, C, A",Zinc,General nutrition,Children,"Macular Degeneration, Kidney Disease, Polycystic Ovary Syndrome (PCOS)"
"Lamb, raw, choice, trimmed to 1/8"" fat, separable lean and fat, composite of trimmed retail cuts, domestic",100.0,243.0,20.0,25.0,17.0,"A, D, C","Iron, Magnesium, Zinc",General nutrition,Children,"Food Allergies, Macular Degeneration"
"Beef, grilled, cooked, all grades, trimmed to 1/8"" fat, separable lean only, boneless, top loin filet",100.0,195.0,46.0,38.0,4.0,"A, D, B","Calcium, Magnesium, Zinc",General nutrition,Adults,Prader-Willi Syndrome
"Beef, raw, choice, trimmed to 0"" fat, separable lean and fat, boneless, shoulder top blade steak",100.0,152.0,4.0,40.0,3.0,"E, A","Magnesium, Calcium",General nutrition,Children,"Heart Disease, Depression, Prader-Willi Syndrome"
"KEEBLER, Oatmeal Cookies",100.0,478.0,4.0,95.0,19.0,"C, D",Magnesium,General nutrition,All ages,"Hemophilia, Gallstones"
"Chicken, reheated, breaded, frozen, thighs",100.0,334.0,38.0,76.0,25.0,"B, A","Zinc, Iron, Calcium",General nutrition,All ages,Ulcers
"MOTHER'S, Circus Animal Cookies",100.0,515.0,37.0,86.0,16.0,"A, D, C","Magnesium, Iron",General nutrition,All ages,Cushing's Syndrome
"Cookies, lower fat, regular, commercially prepared, chocolate chip",100.0,451.0,1.0,26.0,27.0,"B, E, C, A","Zinc, Iron, Magnesium",General nutrition,All ages,"Lung Cancer, Polycystic Ovary Syndrome (PCOS)"
"Beef, cooked, all grades, trimmed to 1/8"" fat, separable lean only, composite of trimmed retail cuts",100.0,194.0,44.0,2.0,28.0,A,"Magnesium, Zinc, Calcium",General nutrition,Adults,Osteoporosis
"Leavening agents, active dry, baker's, yeast",100.0,325.0,11.0,1.0,1.0,"C, B, A","Magnesium, Calcium, Zinc",General nutrition,Adults,Rett Syndrome
"Cornmeal, yellow (Navajo)",100.0,384.0,19.0,53.0,0.0,"D, A, B",Iron,General nutrition,Adults,"Systemic Lupus Erythematosus, Angelman Syndrome"
"Pancakes, incomplete (includes buttermilk), dry mix, plain",100.0,355.0,3.0,94.0,1.0,C,"Magnesium, Calcium, Iron",General nutrition,Old age,"GERD, Celiac Disease"
"Babyfood, toddler, and vegetables, rice, turkey, dinner",100.0,60.0,42.0,77.0,11.0,"C, D",Zinc,General nutrition,All ages,"COPD, Rett Syndrome, Hypoglycemia"
"Cheese, hard, parmesan",100.0,392.0,37.0,23.0,9.0,"D, E, B, A","Iron, Calcium, Zinc",General nutrition,Old age,Sepsis
"Bread, made with nonfat dry milk, prepared from recipe, white",100.0,274.0,22.0,90.0,27.0,"B, A, E, D",Calcium,General nutrition,Adults,"None, Sepsis, Sleep Apnea"
"Soup, dry, cubed, beef broth",100.0,170.0,20.0,19.0,20.0,"E, D",Magnesium,General nutrition,Adults,"Asthma, Liver Disease, Maple Syrup Urine Disease"
"Lamb, braised, cooked, choice, trimmed to 1/4"" fat, separable lean only, blade, shoulder, domestic",100.0,288.0,41.0,85.0,9.0,C,"Magnesium, Zinc, Calcium",General nutrition,Children,"None, Mucopolysaccharidosis, Hepatitis"
"Pork, broiled, cooked, boneless, separable lean only, country-style ribs, loin, fresh",100.0,216.0,5.0,28.0,6.0,"D, A, E",Iron,General nutrition,Old age,Phenylketonuria
"Beef, roasted, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, roast, tip round, round",100.0,219.0,5.0,29.0,2.0,"D, C, A","Iron, Magnesium, Zinc",General nutrition,Old age,"COPD, Psoriasis"
"Cookies, with creme filling, chocolate sandwich, gluten-free",100.0,474.0,40.0,34.0,29.0,"E, C, B, D","Iron, Magnesium",General nutrition,Adults,"Eczema, Hemochromatosis"
"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean only, top round, round",100.0,207.0,9.0,25.0,20.0,E,"Calcium, Magnesium",General nutrition,All ages,"Anxiety, Hypothyroidism, Liver Disease"
"Beverages,  3-2-1 Plan, ready-to-drink, regular, meal replacement, SLIMFAST, UNILEVER",100.0,57.0,14.0,15.0,22.0,"A, D",Iron,General nutrition,Adults,Systemic Lupus Erythematosus
"Turkey, raw, with added solution, meat only, whole",100.0,105.0,4.0,93.0,5.0,C,"Zinc, Iron, Calcium",General nutrition,Old age,"Kidney Disease, Pancreatitis, Ulcerative Colitis"
"Mollusks, raw, mixed species, cuttlefish",100.0,79.0,34.0,78.0,13.0,"B, C","Calcium, Zinc",General nutrition,Children,Hyperoxaluria
"CAMPBELL'S CHUNKY Soups, Hearty Beef Barley Soup",100.0,56.0,4.0,95.0,2.0,"D, A","Magnesium, Zinc",General nutrition,Adults,"Cystinosis, Gaucher's Disease"
"Beef, raw, separable lean and fat, tenderloin, imported, New Zealand",100.0,146.0,47.0,56.0,10.0,"A, C, E, B","Magnesium, Zinc",General nutrition,Children,"Pelvic Inflammatory Disease, Hemochromatosis, Marfan Syndrome"
"MORNINGSTAR FARMS Roasted Garlic & Quinoa Burger, unprepared, frozen",100.0,192.0,32.0,69.0,20.0,"E, D, C",Calcium,General nutrition,All ages,"HIV/AIDS, Prostate Cancer"
"Beef, pan-broiled, patty cooked, 70% lean meat / 30% fat, ground",100.0,238.0,17.0,24.0,8.0,"C, A, B, E",Calcium,General nutrition,Adults,Chronic Fatigue Syndrome
"Goose, roasted, cooked, meat and skin, domesticated",100.0,305.0,22.0,98.0,21.0,D,"Iron, Zinc, Calcium",General nutrition,Children,Rett Syndrome
"Lamb, raw, spleen, variety meats and by-products",100.0,101.0,24.0,57.0,10.0,"D, C, E, B",Magnesium,General nutrition,Children,Pelvic Inflammatory Disease
"Cookies, soft-type, commercially prepared, chocolate chip",100.0,444.0,18.0,72.0,14.0,"A, D, E, B",Calcium,General nutrition,Old age,Tay-Sachs Disease
"Rolls, made with low fat (2%) milk, prepared from recipe, plain, dinner",100.0,316.0,22.0,66.0,8.0,"E, B, C, D",Magnesium,General nutrition,All ages,"Anorexia Nervosa, None, Tuberculosis"
"Beans, without salt, boiled, cooked, mature seeds, great northern",100.0,118.0,40.0,47.0,29.0,"D, C",Calcium,General nutrition,Children,"Lymphoma, Hypothyroidism"
"Nuts, with salt added, dry roasted, pistachio nuts",100.0,569.0,40.0,1.0,20.0,"C, A, E, B",Calcium,"Heart health, Weight management, Brain function",All ages,"Leukemia, Dementia, Anorexia Nervosa"
"Lamb, raw, brains, imported, New Zealand",100.0,118.0,16.0,76.0,19.0,"C, D, B, E",Magnesium,General nutrition,Old age,"Macular Degeneration, Raynaud's Disease"
"Noodles, with added salt, enriched, cooked, egg",100.0,138.0,5.0,45.0,19.0,"E, C, B","Magnesium, Iron",General nutrition,Children,"Wilson's Disease, Scleroderma"
"Cornmeal, white (Navajo)",100.0,398.0,17.0,28.0,5.0,"E, A, C","Calcium, Iron",General nutrition,All ages,"Multiple Sclerosis, Schizophrenia"
"Artichokes, without salt, drained, boiled, cooked, (globe or french)",100.0,53.0,28.0,16.0,4.0,"C, B",Calcium,General nutrition,Adults,"Asthma, None"
"Sauce, soy sauce, water, made from peanut butter, peanut",100.0,257.0,33.0,47.0,7.0,"C, E, A, B","Magnesium, Iron",General nutrition,Children,"Rett Syndrome, Gout"
"Snacks, M&M's milk chocolate, KUDOS Whole Grain Bar, M&M MARS",100.0,415.0,31.0,40.0,22.0,"D, B, C, A","Calcium, Iron, Zinc","Sustained energy, Digestive health, Blood sugar control",All ages,Liver Disease
Chickpea flour (besan),100.0,387.0,35.0,77.0,13.0,C,Zinc,General nutrition,All ages,"Parkinson's Disease, COPD, Ehlers-Danlos Syndrome"
"Seeds, dried, chia seeds",100.0,486.0,28.0,88.0,25.0,"A, C",Magnesium,"Heart health, Weight management, Brain function",Children,Ornithine Transcarbamylase Deficiency
"Leeks, freeze-dried, (bulb and lower-leaf portion)",100.0,321.0,45.0,10.0,28.0,"A, D, C, B",Magnesium,General nutrition,Old age,"Rett Syndrome, Liver Disease, None"
"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean and fat, blade roast, chuck",100.0,334.0,41.0,16.0,4.0,"A, B",Iron,General nutrition,Children,Pelvic Inflammatory Disease
"Noodles, unenriched, dry, egg",100.0,384.0,19.0,75.0,2.0,"B, D, E","Iron, Zinc, Magnesium",General nutrition,Old age,Rett Syndrome
"Avocados, California, raw",100.0,167.0,44.0,38.0,28.0,"E, D, A, B","Iron, Zinc",General nutrition,Adults,"Lung Cancer, Polycystic Ovary Syndrome (PCOS), Celiac Disease"
"Beef, raw, choice, trimmed to 0"" fat, boneless separable lean and fat, eye of round steak, round",100.0,127.0,13.0,33.0,16.0,"B, A, C, E","Magnesium, Iron, Calcium",General nutrition,Old age,High Cholesterol
"Crackers, regular, cheese",100.0,489.0,26.0,45.0,9.0,"B, C","Magnesium, Calcium, Iron",General nutrition,Old age,"Alkaptonuria, HIV/AIDS, Phenylketonuria"
"Candies, 100 GRAND Bar, NESTLE",100.0,468.0,37.0,64.0,19.0,"A, E","Iron, Calcium, Magnesium",General nutrition,All ages,"Angelman Syndrome, Canavan Disease"
"SUNSHINE, Pepper Jack Crackers, CHEEZ-IT",100.0,503.0,28.0,60.0,25.0,"A, D, B","Iron, Zinc",General nutrition,Adults,"Hyperoxaluria, Maple Syrup Urine Disease"
"Ham, packaged (96% fat free, water added), sliced",100.0,100.0,2.0,50.0,2.0,"E, A",Zinc,General nutrition,Old age,Pancreatitis
"Candies, HEATH BITES",100.0,530.0,14.0,33.0,16.0,"E, B, D","Magnesium, Iron",General nutrition,Children,"Anxiety, Chronic Pain"
"Beef, raw, formed and thinly sliced, chopped, flaked, sandwich steaks",100.0,309.0,26.0,71.0,18.0,"B, A, E","Iron, Zinc",General nutrition,Children,Galactosemia
"Snacks, cakes, popcorn",100.0,384.0,2.0,22.0,28.0,"A, E","Magnesium, Zinc, Iron",General nutrition,Children,"Cystinosis, Tuberculosis, Maple Syrup Urine Disease"
"Beef, simmered, cooked, kidneys, variety meats and by-products",100.0,158.0,12.0,2.0,6.0,"A, D","Calcium, Zinc, Iron",General nutrition,Old age,"Tuberculosis, Psoriasis"
"KEEBLER, Mini Fudge Grahams Cookies, FUDGE SHOPPE, 100 Calorie RIGHT BITES",100.0,467.0,28.0,96.0,29.0,"A, E","Calcium, Zinc",General nutrition,Children,"Chronic Pain, Hypertension, Endometriosis"
"Toaster Pastries, Frosted wild berry, KELLOGG'S POP TARTS, KELLOGG",100.0,390.0,10.0,14.0,19.0,"D, A, B","Zinc, Magnesium, Iron",General nutrition,Old age,"Hemophilia, Addison's Disease"
"Turkey, raw, meat and skin, wing, all classes",100.0,197.0,8.0,20.0,2.0,"A, D, B, C","Zinc, Iron",General nutrition,Adults,"GERD, Sickle Cell Anemia, Eating Disorders"
"Beef, raw, select, trimmed to 0"" fat, separable lean only, boneless, under blade pot roast or steak, chuck",100.0,134.0,21.0,5.0,9.0,"B, D, A","Calcium, Iron, Zinc",General nutrition,Adults,"Thyroid Disorders, Epilepsy, Glaucoma"
"Pancakes, complete (includes buttermilk), dry mix, plain",100.0,368.0,3.0,61.0,3.0,"E, D, C","Calcium, Iron, Magnesium",General nutrition,All ages,"Liver Disease, Thyroid Disorders, Pancreatitis"
"Veal, roasted, cooked, separable lean only, loin",100.0,175.0,43.0,81.0,0.0,"A, B","Magnesium, Iron",General nutrition,Adults,"Wilson's Disease, Post-Traumatic Stress Disorder (PTSD)"
"Veal, braised, cooked, separable lean and fat, arm, shoulder",100.0,236.0,21.0,34.0,23.0,"C, E","Iron, Calcium, Magnesium",General nutrition,Adults,Hepatitis
"Soup, single brand, condensed, bean with bacon",100.0,117.0,27.0,96.0,13.0,A,"Calcium, Magnesium, Iron",General nutrition,Old age,Addison's Disease
"Puddings, instant, dry mix, vanilla",100.0,377.0,20.0,34.0,16.0,"E, B, D, C",Zinc,General nutrition,Children,"Chronic Pain, Hyperthyroidism, Anorexia Nervosa"
"Cereals, dry, Butter flavor, Instant Grits, QUAKER",100.0,369.0,9.0,19.0,20.0,D,"Magnesium, Iron, Calcium","Sustained energy, Digestive health, Blood sugar control",All ages,"Irritable Bowel Syndrome, Scleroderma, Epilepsy"
"KEEBLER, Vanilla, Jumbo Fudge Sticks, FUDGE SHOPPE",100.0,530.0,30.0,14.0,14.0,"C, D","Calcium, Iron, Zinc",General nutrition,Adults,"Cancer, Autism Spectrum Disorder, Scleroderma"
"Beef, pan-browned, cooked, crumbles, 90% lean meat / 10% fat, ground",100.0,230.0,42.0,53.0,22.0,"A, C","Magnesium, Calcium",General nutrition,Adults,"Cystic Fibrosis, Chronic Pain, Prostate Cancer"
"Snacks, salted, made with partially hydrogenated soybean oil, plain, potato chips",100.0,536.0,27.0,54.0,22.0,"D, C, E","Magnesium, Iron",General nutrition,Adults,Ulcers
"Beef, grilled, cooked, select, trimmed to 0"" fat, separable lean only, boneless, top sirloin filet, loin",100.0,165.0,13.0,28.0,26.0,D,"Zinc, Calcium, Magnesium",General nutrition,Children,"Post-Traumatic Stress Disorder (PTSD), Inflammatory Bowel Disease"
"Beef, roasted, cooked, choice, trimmed to 0"" fat, separable lean and fat, tri-tip roast, bottom sirloin",100.0,221.0,9.0,39.0,25.0,"B, A, E, C","Zinc, Iron, Calcium",General nutrition,Children,Hypothyroidism
"Beef, roasted, cooked, choice, trimmed to 0"" fat, separable lean and fat, large end (ribs 6-9), rib",100.0,372.0,27.0,34.0,12.0,D,"Iron, Calcium",General nutrition,Adults,Multiple Sclerosis
"Snacks, graham and marshmallow, chocolate chip, uncoated, soft, granola bars",100.0,427.0,29.0,65.0,21.0,"C, A",Calcium,General nutrition,Children,"Binge Eating Disorder, Pelvic Inflammatory Disease"
"Babyfood, strained, tutti frutti, fruit",100.0,66.0,33.0,47.0,4.0,"C, B, E, D","Zinc, Iron, Calcium",General nutrition,All ages,"Diverticulitis, Alkaptonuria, Encephalitis"
"LOMA LINDA Linketts, unprepared, canned",100.0,209.0,13.0,35.0,4.0,"B, E",Iron,General nutrition,Children,"GERD, Psoriasis, Wilson's Disease"
"SUBWAY, roast beef sub on white bread with lettuce and tomato",100.0,155.0,33.0,51.0,27.0,"B, E, D, A","Calcium, Iron",General nutrition,All ages,"Gaucher's Disease, Diverticulitis, Celiac Disease"
"Coffeecake, dry mix, cinnamon with crumb topping",100.0,436.0,11.0,17.0,12.0,"B, D, E","Zinc, Calcium, Magnesium",General nutrition,All ages,"Gout, Scleroderma"
"Pork, cooked, separable lean and fat, composite of trimmed retail cuts (loin and shoulder blade), fresh",100.0,235.0,21.0,28.0,20.0,"A, C, E, D","Calcium, Zinc, Iron",General nutrition,Old age,Alzheimer's Disease
"Cereals, dry, summer berry, REAL MEDLEYS, oatmeal, QUAKER",100.0,353.0,6.0,17.0,21.0,"D, C, B, A","Zinc, Iron","Sustained energy, Digestive health, Blood sugar control",Adults,High Cholesterol
"Cereals, salt, prepared with water, QUAKER/MOTHER'S Oat Bran, QUAKER, Oat Bran",100.0,43.0,13.0,69.0,6.0,"C, B, E, A",Zinc,"Sustained energy, Digestive health, Blood sugar control",Old age,"Cystinosis, Prader-Willi Syndrome"
"Cornmeal, enriched, with wheat flour added, bolted, self-rising, yellow",100.0,348.0,41.0,2.0,22.0,"D, B, E","Zinc, Calcium, Iron",General nutrition,Adults,"High Cholesterol, Arthritis, Myeloma"
"Desserts, prepared-from-recipe, apple crisp",100.0,161.0,42.0,66.0,11.0,"D, B","Zinc, Iron, Magnesium",General nutrition,All ages,Obesity
"KEEBLER, Cheese & Peanut Butter Sandwich Crackers",100.0,492.0,39.0,64.0,13.0,"B, C, A","Iron, Magnesium",General nutrition,Adults,"Leukemia, Anxiety"
"Fish, dry heat, cooked, striped, bass",100.0,124.0,44.0,79.0,11.0,E,Calcium,"Brain development, Joint health, Mood improvement",Old age,"Menopause, Osteoporosis, Gaucher's Disease"
"Fast foods, patty; plain, regular, hamburger; double",100.0,295.0,26.0,12.0,27.0,"B, E, D, C","Calcium, Magnesium",General nutrition,Adults,Endometriosis
"Potatoes, unprepared, dry mix, au gratin",100.0,314.0,13.0,14.0,15.0,"B, D, E, A","Zinc, Magnesium, Iron",General nutrition,All ages,"Hypertension, Addison's Disease"
"Pork, roasted, cooked, separable lean only, boneless, top loin (roasts), loin, fresh",100.0,173.0,38.0,66.0,13.0,"C, A","Iron, Zinc, Magnesium",General nutrition,Children,Osteoporosis
"Cereals ready-to-eat, QUAKER WHOLE HEARTS oat cereal",100.0,376.0,45.0,32.0,20.0,"A, C","Zinc, Iron, Magnesium","Sustained energy, Digestive health, Blood sugar control",All ages,"Obesity, Attention Deficit Hyperactivity Disorder (ADHD)"
"Chicken, with broth, meat only, canned",100.0,165.0,31.0,1.0,16.0,B,Magnesium,General nutrition,Children,"Galactosemia, Diabetes, Food Allergies"
"Cereals ready-to-eat, KELLOGG'S SMART START Strong Heart Antioxidants Cereal, KELLOGG",100.0,371.0,47.0,69.0,9.0,"B, D","Calcium, Magnesium","Sustained energy, Digestive health, Blood sugar control",All ages,"Marfan Syndrome, Cataracts, Bipolar Disorder"
"Nuts, without salt added, oil roasted, almonds",100.0,607.0,12.0,71.0,20.0,"E, D","Iron, Zinc","Heart health, Weight management, Brain function",Children,"Anorexia Nervosa, Glaucoma, Angelman Syndrome"
"Turkey from whole, raw, light meat",100.0,114.0,18.0,18.0,25.0,"B, A, C, E",Iron,General nutrition,Adults,Gaucher's Disease
"Beef, broiled, cooked, select, trimmed to 1/4"" fat, separable lean only, full cut, round",100.0,172.0,11.0,47.0,4.0,"C, A, D, B","Iron, Zinc, Magnesium",General nutrition,Adults,"Cystinosis, Eczema, Glaucoma"
"Cereals ready-to-eat, Warm Cinnamon, KASHI HEART TO HEART",100.0,365.0,27.0,53.0,14.0,"C, A, E","Zinc, Magnesium","Sustained energy, Digestive health, Blood sugar control",Children,"Ovarian Cancer, Food Allergies"
"Chicken, stewed, cooked, meat only, light meat, stewing",100.0,213.0,34.0,43.0,28.0,D,"Zinc, Iron",General nutrition,Children,Acromegaly
"Ground turkey, raw, 7% fat, 93% lean",100.0,150.0,0.0,32.0,21.0,"E, C",Zinc,General nutrition,Old age,Arthritis
"Infant formula, ready-to-feed, with iron, NUTRAMIGEN, ENFAMIL, MEAD JOHNSON",100.0,66.0,13.0,70.0,22.0,"E, A","Zinc, Iron, Magnesium",General nutrition,Adults,"Alzheimer's Disease, Seizure Disorders, Hemochromatosis"
"KEEBLER, Crackers, ANIMALS",100.0,450.0,45.0,72.0,5.0,"E, D, C","Calcium, Magnesium, Zinc",General nutrition,All ages,High Cholesterol
"Chicken, roasted, cooked, meat and skin and giblets and neck, capons",100.0,226.0,4.0,25.0,2.0,"E, A, C","Iron, Zinc, Calcium",General nutrition,Old age,"Macular Degeneration, Galactosemia, Glaucoma"
"Beverages, prepared with whole milk, powder, Eggnog-flavor mix",100.0,95.0,13.0,50.0,8.0,"D, B","Magnesium, Calcium",General nutrition,Old age,Celiac Disease
"CAMPBELL'S, condensed, Homestyle Chicken Noodle Soup",100.0,51.0,45.0,28.0,20.0,C,"Calcium, Iron, Magnesium",General nutrition,Old age,"Cystinosis, Bulimia Nervosa"
"Infant formula, ready-to-feed, with iron, GOOD START ESSENTIALS SOY, NESTLE",100.0,65.0,25.0,93.0,12.0,"C, A","Calcium, Magnesium",General nutrition,Adults,"Sepsis, Maple Syrup Urine Disease, Gaucher's Disease"
"Infant formula, powder, soy, store brand, PBM PRODUCTS",100.0,508.0,45.0,44.0,12.0,E,Zinc,General nutrition,Adults,Ulcers
"Infant formula, not reconstituted, powder, with iron, PREGESTIMIL, MEAD JOHNSON",100.0,519.0,30.0,33.0,12.0,"C, E, B, A","Iron, Zinc",General nutrition,Old age,Systemic Lupus Erythematosus
"Cheese, queso cotija, mexican",100.0,366.0,42.0,51.0,29.0,"E, B, A, C",Magnesium,General nutrition,Old age,"Prader-Willi Syndrome, Diabetes, Sepsis"
"Nuts, raw, coconut meat",100.0,354.0,9.0,83.0,7.0,E,"Calcium, Magnesium, Zinc","Heart health, Weight management, Brain function",All ages,"Ornithine Transcarbamylase Deficiency, Glaucoma, Mucopolysaccharidosis"
"Chicken, raw, meat and skin, light meat, broilers or fryers",100.0,186.0,41.0,92.0,7.0,"D, C","Zinc, Magnesium, Calcium",General nutrition,All ages,High Cholesterol
Agushi Stew with Rice,100.0,360.0,15.0,50.0,12.0,A,Zinc,High protein,rich in omega-3,General
"Beef, pan-browned, cooked, crumbles, 95% lean meat / 5% fat, ground",100.0,193.0,4.0,11.0,19.0,"A, C, B, E",Zinc,General nutrition,Adults,"Pelvic Inflammatory Disease, Hypoglycemia, Arthritis"
"Puddings, dry mix, instant, low calorie, chocolate flavor",100.0,356.0,0.0,52.0,15.0,B,"Magnesium, Calcium",General nutrition,Children,Cystic Fibrosis
"Beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean only, lip off, boneless, top loin steak, loin",100.0,202.0,16.0,50.0,14.0,"E, B, D","Zinc, Calcium, Iron",General nutrition,Adults,"Addison's Disease, Galactosemia, Anxiety"
"Margarine, with added vitamin D, with salt, tub, composite, 80% fat, regular",100.0,713.0,18.0,99.0,6.0,"C, A, B, D","Iron, Magnesium, Zinc",General nutrition,Adults,Alkaptonuria
"Puddings, dry mix, regular, low calorie, chocolate flavor",100.0,365.0,48.0,36.0,2.0,A,Iron,General nutrition,All ages,"Ulcerative Colitis, Schizophrenia"
"Cereals ready-to-eat, PEANUT BUTTER TOAST CRUNCH, GENERAL MILLS",100.0,410.0,39.0,9.0,25.0,D,Calcium,"Sustained energy, Digestive health, Blood sugar control",Old age,"Heart Disease, Depression"
"Fast foods, with condiments, triple patty, large, hamburger",100.0,267.0,36.0,20.0,14.0,A,"Magnesium, Iron, Calcium",General nutrition,Old age,"Congenital Heart Disease, Multiple Sclerosis, Psoriasis"
"Game meat, raw, composite of cuts, domesticated, rabbit",100.0,136.0,37.0,47.0,24.0,"E, C",Zinc,General nutrition,Children,"Anxiety, COPD, Osteoporosis"
"Chicken, thigh meat and skin, BBQ, rotisserie, broiler",100.0,226.0,42.0,68.0,17.0,"A, D",Calcium,General nutrition,Children,"Hyperoxaluria, Inflammatory Bowel Disease, Cataracts"
"Potatoes, as purchased, frozen, salt added in processing, shoestring, french fried",100.0,167.0,25.0,76.0,11.0,"C, E, D","Magnesium, Calcium, Zinc",General nutrition,Children,Hypertension
"Pork, raw, separable lean only, tenderloin, loin, enhanced, fresh",100.0,106.0,12.0,69.0,24.0,"A, D, B, C","Calcium, Iron, Zinc",General nutrition,All ages,"Parkinson's Disease, Anemia"
"Sausage, smoked, skinless, pork, beef, chicken",100.0,216.0,38.0,3.0,26.0,C,"Zinc, Iron",General nutrition,Adults,"Endometriosis, None"
